#model: tadap
# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
22.260971764888918 0.9635697950002334 0.15361670539931704 -248120.5718242597  -9.014144755720519 -9.014144755720519 -9.014144755720519 0.0 0.0 0.0 316.4493411854342 2.7178555688369056E-4 19.12381131954604 1.2440148974639942E-4 9.014144755720519 2.5143699262933916 7.34744232642595E-7 22.260971764888918 316.4493411854342
22.29958946836079 0.9619011161812548 0.16121598765271888 -248120.57068707776  -9.733584400863247 -9.733584400863247 -9.733584400863247 0.0 0.0 0.0 317.8265492272418 2.716605154949938E-4 19.321771680818454 1.2455975714209153E-4 9.733584400863247 2.4965177375075256 7.217197584627364E-7 22.29958946836079 317.8265492272418
22.338207171866003 0.9602382068967172 0.16884123047319696 -248120.5695502379  -10.452902098098187 -10.452902098098187 -10.452902098098187 0.0 0.0 0.0 319.1975190397817 2.715315562756993E-4 19.52123454083587 1.2471802453792026E-4 10.452902098098187 2.478761471948664 7.089381810591106E-7 22.338207171866003 319.1975190397817
22.376824875404385 0.9585810372756186 0.1764924368325807 -248120.56841374768  -11.172098130001803 -11.172098130001803 -11.172098130001803 0.0 0.0 0.0 320.56221379257875 2.713987238207573E-4 19.72218889366036 1.2487629193388497E-4 11.172098130001803 2.4611005031826796 6.96395195939622E-7 22.376824875404385 320.56221379257875
22.41544257897576 0.9569295776528061 0.18416960613695896 -248120.56727761455  -11.891172789812213 -11.891172789812213 -11.891172789812213 0.0 0.0 0.0 321.9205975959904 2.7126206129436686E-4 19.924623660010983 1.2503455932998488E-4 11.891172789812213 2.443534209748461 6.84086541170923E-7 22.41544257897576 321.9205975959904
22.454060282579963 0.9552837985672051 0.19187273430616045 -248120.56614184595  -12.610126381244024 -12.610126381244024 -12.610126381244024 0.0 0.0 0.0 323.2726354937897 2.711216113727414E-4 20.128527689849047 1.2519282672621935E-4 12.610126381244024 2.426061975110994 6.720079993642464E-7 22.454060282579963 323.2726354937897
22.492677986216826 0.9536436707600685 0.19960181385204726 -248120.5650064491  -13.328959218303757 -13.328959218303757 -13.328959218303757 0.0 0.0 0.0 324.6182934556808 2.709774163564043E-4 20.333889764937076 1.2535109412258763E-4 13.328959218303757 2.4086831876149843 6.601553994709154E-7 22.492677986216826 324.6182934556808
22.531295689886182 0.9520091651732415 0.20735683395562393 -248120.56387143114  -14.047671625106222 -14.047671625106222 -14.047671625106222 0.0 0.0 0.0 325.9575383697498 2.7082951756556185E-4 20.540698601371627 1.255093615190891E-4 14.047671625106222 2.3913972404389687 6.485246183975853E-7 22.531295689886182 325.9575383697498
22.569913393587857 0.950380252947447 0.21513778054295885 -248120.56273679927  -14.766263935691656 -14.766263935691656 -14.766263935691656 0.0 0.0 0.0 327.2903380348557 2.70677955283955E-4 20.748942852089517 1.2566762891572304E-4 14.766263935691656 2.3742035315499423 6.371115824509633E-7 22.569913393587857 327.2903380348557
22.608531097321695 0.9487569054205852 0.22294463635992623 -248120.56160256045  -15.48473649384441 -15.48473649384441 -15.48473649384441 0.0 0.0 0.0 328.616661152965 2.705227695011278E-4 20.95861110934748 1.2582589631248876E-4 15.48473649384441 2.3571014636584646 6.259122686214024E-7 22.608531097321695 328.616661152965
22.64714880108752 0.9471390941260547 0.23077738104575266 -248120.56046872155  -16.20308965291143 -16.20308965291143 -16.20308965291143 0.0 0.0 0.0 329.9364773214305 2.7036399966651263E-4 21.169691907174705 1.2598416370938558E-4 16.20308965291143 2.340090444174274 6.149227057144444E-7 22.64714880108752 329.9364773214305
22.685766504885184 0.945526790791086 0.2386359912053979 -248120.5593352894  -16.921323775623144 -16.921323775623144 -16.921323775623144 0.0 0.0 0.0 331.24975702522295 2.7020168427379775E-4 21.382173723798626 1.261424311064129E-4 16.921323775623144 2.3231698851623634 6.041389753390119E-7 22.685766504885184 331.24975702522295
22.724384208714515 0.943919967335097 0.2465204404807448 -248120.55820227077  -17.639439233913983 -17.639439233913983 -17.639439233913983 0.0 0.0 0.0 332.55647162911237 2.7003586124280533E-4 21.596044984043225 1.2630069850357E-4 17.639439233913983 2.3063392032995593 5.935572127606632E-7 22.724384208714515 332.55647162911237
