#state rho e tau(6) p c^2 T s cv gamma alphavol
0.0 3.761428792650665 0.0 35.30284240526328  -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 NaN 3.761428792650665 0.018094429139542435 0.001411539485646042 NaN NaN
1.845E-6 3.761428792650665 1.845E-6 35.30284240526328  -3.5938533064620063E-9 -3.5938533064620063E-9 -3.5938533064620063E-9 0.0 0.0 0.0 3.5938533064620063E-9 0.0012304955140955709 3.761428792650665 0.018094429139542435 0.001411539485646042 0.6535988642871304 406375.87253601965
3.69E-6 3.9006527078770725 3.69E-6 35.301652588271935  -3.9558414055171755E-9 -3.9558414055171755E-9 -3.9558414055171755E-9 0.0 0.0 0.0 3.9558414055171755E-9 -0.0020751953370135353 3.9006527078770725 0.017448594337712037 0.0014083766700990657 0.6550861887574678 -120484.70441750153
9.225E-6 4.10113879118966 9.225E-6 35.298622607864004  1.063163164226349E-8 1.063163164226349E-8 1.063163164226349E-8 0.0 0.0 0.0 -1.063163164226349E-8 -0.005450160735256242 4.10113879118966 0.016595611662366828 0.0014046361650516855 0.6569138490570583 -18352.556860432553
1.845E-5 4.266891361843217 1.845E-5 35.29438942894775  7.850800585933682E-8 7.850800585933682E-8 7.850800585933682E-8 0.0 0.0 0.0 -7.850800585933682E-8 -0.015373198127397049 4.266891361843217 0.015950934997005402 0.0014022220020077874 0.6582327719709546 -3254.1358806061276
3.69E-5 4.446461443487304 3.69E-5 35.28723796217054  3.502297152053063E-7 3.502297152053063E-7 3.502297152053063E-7 0.0 0.0 0.0 -3.502297152053063E-7 -0.04007901524316361 4.446461443487304 0.015306757433314366 0.0014003634687220668 0.6595954380417438 -624.5612099509526
9.225E-5 4.708155874971342 9.225E-5 35.26985835788015  2.048277192570694E-6 2.048277192570694E-6 2.048277192570694E-6 0.0 0.0 0.0 -2.048277192570694E-6 -0.052560463607575825 4.708155874971342 0.014455958672452916 0.0013996685868407949 0.6619198597973712 -191.07552661658116
1.845E-4 4.9273366553289275 1.845E-4 35.246202855468184  7.286094938358422E-6 7.286094938358422E-6 7.286094938358422E-6 0.0 0.0 0.0 -7.286094938358422E-6 -0.11025556822285433 4.9273366553289275 0.013812919942954773 0.0014023915862764564 0.665014362723456 -45.8462079912123
3.69E-4 5.167735516914738 3.69E-4 35.206804265690586  2.5187461113003823E-5 2.5187461113003823E-5 2.5187461113003823E-5 0.0 0.0 0.0 -2.5187461113003823E-5 -0.24865853032914684 5.167735516914738 0.01317035411918275 0.0014124108454655203 0.6714076313431315 -10.335169136249315
9.225E-4 5.523690187470877 9.225E-4 35.1121099039545  1.2666461860528355E-4 1.2666461860528355E-4 1.2666461860528355E-4 0.0 0.0 0.0 -1.2666461860528355E-4 -0.31242516929347386 5.523690187470877 0.012321637246495888 0.001457414098415734 0.6939847905536861 -3.509300273579892
0.001845 5.831803561661525 0.001845 34.98413506555872  4.2522135936554165E-4 4.2522135936554165E-4 4.2522135936554165E-4 0.0 0.0 0.0 -4.2522135936554165E-4 -0.4678361225534345 5.831803561661525 0.011670644601179595 0.001547439906590769 0.7330866079448902 -1.3142529377248762
0.0027675 6.048166270898053 0.0027675 34.87294874380936  8.619337850848587E-4 8.619337850848587E-4 8.619337850848587E-4 0.0 0.0 0.0 -8.619337850848587E-4 -0.9070737805357836 6.048166270898053 0.011253147434046831 0.0016069901808295247 0.7567892405662445 -0.4844600045638724
0.0046125 6.373483246839523 0.0046125 34.67655280976002  0.002096596812797602 0.002096596812797602 0.002096596812797602 0.0 0.0 0.0 -0.002096596812797602 -1.1648414297271164 6.373483246839523 0.010678761379941195 0.0016805111655902275 0.7845177517803102 -0.2453810325047452
0.00738 6.737143465890326 0.00738 34.418019444589795  0.004745068434908224 0.004745068434908224 0.004745068434908224 0.0 0.0 0.0 -0.004745068434908224 -1.6079991479725784 6.737143465890326 0.01010233893587579 0.001746087885668525 0.8085697340304913 -0.11897108001612335
0.01107 7.113532897992442 0.01107 34.111192831153545  0.009592968226717043 0.009592968226717043 0.009592968226717043 0.0 0.0 0.0 -0.009592968226717043 -2.577406067403179 7.113532897992442 0.009567806563635917 0.0018005864789291072 0.8288672592520644 -0.05230804663432315
0.01845 7.695310892141201 0.01845 33.56973019379612  0.02326656180329867 0.02326656180329867 0.02326656180329867 0.0 0.0 0.0 -0.02326656180329867 -3.103301880890033 7.695310892141201 0.00884446485736645 0.0018661356243294496 0.8552434305367997 -0.02787485104585549
0.027675 8.270087378265048 0.027675 32.970499449327704  0.04697289428208326 0.04697289428208326 0.04697289428208326 0.0 0.0 0.0 -0.04697289428208326 -5.121013796067604 8.270087378265048 0.008229768760475088 0.001916176770919055 0.878587696312378 -0.011878924247783454
0.046125 9.194512949966425 0.046125 31.914002853271537  0.11370251214351718 0.11370251214351718 0.11370251214351718 0.0 0.0 0.0 -0.11370251214351718 -6.602450339103349 9.194512949966425 0.007402339539071892 0.0019805457201083516 0.9153877868848764 -0.00595317245543267
0.0738 10.333587675752913 0.0738 30.526967928680445  0.25601787082823124 0.25601787082823124 0.25601787082823124 0.0 0.0 0.0 -0.25601787082823124 -9.149741970692748 10.333587675752913 0.006586377247443835 0.002053287720220402 0.9644955325394714 -0.002932816031371766
0.1107 11.657328647300663 0.1107 28.887381964216623  0.5144014689515243 0.5144014689515243 0.5144014689515243 0.0 0.0 0.0 -0.5144014689515243 -11.808855549523448 11.657328647300663 0.005838465124495311 0.0021519650835642337 1.0298723526218563 -0.0016953649054032567
