#(periclase), single-crystal$
# 9.71  6.02
8c1949  mgo84  3-1  3.018e+00 2.785e+00  6.825 1.943  7.861 1.006 1.001
8c1950   mgo84 3-1  3.004e+00 2.785e+00  8.025 2.568  8.749 1.009 1.002
8c1951  mgo84  3-1  3.014e+00 2.785e+00  8.603 2.873  9.192 1.004 1.003


#(periclase), ceramic$                                         2.8
8c1488  mgo    3-1  2.835e+00 2.781e+00  6.905 2.187  8.090 1.004 1.000
8c1491  mgo    3-1  2.816e+00 2.781e+00  8.311 2.984  9.182 1.008 1.007
8c1492  mgo    3-1  2.856e+00 2.781e+00  8.844 3.233  9.565 1.008 1.009
8c1494  mgo    3-1  2.852e+00 2.781e+00  9.131 3.528  9.937 1.004 1.007
8c1513  mgo    3-1  2.836e+00 2.781e+00  8.321 2.967  9.174 1.006 1.004
8c1516  mgo    3-1  2.859e+00 2.781e+00  5.909 1.749  7.474 1.010 1.001
