#Zhang, Gong, & Fei, JPCM 69, 2344 (2008)
#us(km/s) dus up(km/s) dup p(GPa) dp rho(g/cc) drho
10.71 0.21 2.982 0.012 114.4 1.9 4.966 0.044
12.52 0.25 4.287 0.019 192.3 3.1 5.449 0.078
