# Initial state: 6.099832745882858 g/cc, 293 K, -0.0022811952985604144 MJ/kg
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 - 1/K km/s deg
6.28197 0.9710063476716473 0.15201199111548316 5.242940399296692 0.009273108876786144 4.861605828225965 306.67081606143347 5.360756910368448E-4 29.361536735016372 4.584621826504759E-4 1.453983999363705 3.6140029670236736E-6 86.69369522743588 0.0
6.40395 0.9525109886683778 0.2549865741079111 5.369380556847247 0.03022866976754404 8.351504014742648 317.51910435104156 5.39753771677992E-4 31.78275493496432 4.563201230939246E-4 1.4394996770190092 3.227317709395654E-6 57.853673879118766 0.0
6.556425 0.9303595703272528 0.3850441130652783 5.52903126638749 0.07184944561824186 12.986162954405357 335.2104980634583 5.486595139831318E-4 34.57378650556069 4.535866643501078E-4 1.4221162494276023 2.8456490160658393E-6 44.17412010534184 0.0
6.647889856401968 0.9175592372380648 0.4642290062734195 5.6310615127855685 0.10666197446534802 15.94568682249875 348.1455 5.558499226440976E-4 35.14046767487346 4.642117517311673E-4 1.4098247653274192 2.8014953979473906E-6 43.85794528416086 0.0
6.7089 0.9092150346379969 0.5166109060341227 5.690489652930395 0.13116372634727294 17.93220059606742 359.3556427770877 5.654489225971501E-4 38.27356729555407 4.6334863440716605E-4 1.403312715208806 2.532282108610009E-6 34.763609296184995 0.0
6.923218301511913 0.8810689595835449 0.7056236804136846 5.933048915933439 0.25042847156224535 25.53704993542763 406.16975 6.009293603518889E-4 39.61949841643186 4.702207497519387E-4 1.3795068180159236 2.36487745961431E-6 35.00075340675697 0.0
7.01385 0.8696839461754754 0.7843668153804166 6.01895769830934 0.30533661919880756 28.79784283079027 435.25433476406135 6.258162836752064E-4 43.82011708129071 4.6918036855280387E-4 1.3706600118757384 2.0923752172120173E-6 28.766129789033567 0.0
7.099274478857599 0.8592191728955986 0.8619505941624305 6.12264192426727 0.3729107200398365 32.191449172613716 464.194 6.473046689438181E-4 44.37205367728728 4.757413356320769E-4 1.361506406189961 2.056208164968412E-6 29.120372456311067 0.0
7.240920420713627 0.8424112393824226 0.9891348031852215 6.276683688030054 0.48996891937789083 37.87082923077409 522.21825 6.904603322320517E-4 45.26290748702398 4.803226935278385E-4 1.3481530779738515 1.9757686559538507E-6 29.32053446990913 0.0
7.3188 0.8334471150848305 1.0584502779433747 6.355040193284411 0.5578800658334592 41.03059001633809 561.2596097678568 7.185363576340914E-4 51.13271465922403 4.796926629814271E-4 1.3412056873971534 1.719173596888371E-6 24.509184818480254 0.0
7.3544230629939795 0.8294100969763385 1.0924405071366712 6.403898986830104 0.5982424579223953 42.67379100785409 580.2425 7.309572668094998E-4 51.38367111944667 4.8421022860755406E-4 1.3382911474584247 1.7147895420375837E-6 24.722713020158018 0.0
7.456127463979128 0.8180966292960269 1.188762996417345 6.535134515741989 0.7155332101409138 47.388031081744074 638.26675 7.685771037511203E-4 52.08635476272259 4.874919181835168E-4 1.330003279824639 1.6694862394366898E-6 25.2120762929051 0.0
7.54761977336513 0.8081796551819711 1.2746003487823785 6.64476101318415 0.8240248795346421 51.662114446631065 696.291 8.032710095010403E-4 52.70496544725844 4.903471110134666E-4 1.322992511044612 1.6307953340224683E-6 25.528303055601505 0.0
7.630281548969225 0.7994243340479205 1.3515874195341981 6.738541353551393 0.9249142768116876 55.555717074546116 754.31525 8.355051314556102E-4 53.25414266705414 4.928768564541698E-4 1.3169011521511258 1.5973410137398589E-6 25.738022197152453 0.0
7.705278282815724 0.7916434062461674 1.4210469273384527 6.820263768649332 1.0192116304815813 59.11916099773565 812.3395 8.656393952927356E-4 53.74511750375671 4.951534539506544E-4 1.3114580112919638 1.568075098911018E-6 25.881440140763917 0.0
7.773592911369271 0.7846864140469133 1.4840578174822856 6.892541457210402 1.10776924023591 62.39486365462248 870.36375 8.93957648155287E-4 54.18668441480669 4.97229828358748E-4 1.306462760366707 1.542196939349324E-6 25.98335868719626 0.0
7.836056144165839 0.7784314754335129 1.5415071018432056 6.957247672516942 1.1913075693008128 65.41865239786553 928.388 9.20687861215507E-4 54.58584790806624 4.991455850591217E-4 1.301768360630696 1.5190894450892188E-6 26.05938847264953 0.0
7.8933724307417545 0.7727790370217772 1.5941295200077745 7.015767819629206 1.270437662152446 68.22089049299103 986.41225 9.460160658498981E-4 54.948321132650825 5.009307816046837E-4 1.2972729938216219 1.4982768677164871E-6 26.11949423440784 0.0
7.9287 0.7693357985398436 1.6265393617415491 7.051546583497519 1.320537782641596 69.96285323308446 1024.7086520494786 9.622323184164516E-4 62.14854523977394 5.007980284105324E-4 1.2946481345010166 1.3157743242944024E-6 22.612179932080693 0.0
7.947103115340239 0.7675542467931984 1.6448420226598817 7.076240369926243 1.3519958863549009 70.99786945997214 1044.4365 9.70188290195042E-4 62.27706062593908 5.034839085708604E-4 1.2924364203125132 1.3147943472250037E-6 22.698604978637746 0.0
8.05049269024532 0.7576968243538619 1.7471621989267618 7.210645070035459 1.5316106023614202 76.84680982260265 1160.485 0.0010152589364188281 63.01287839516893 5.064761663621095E-4 1.2828462693063778 1.2808015673443197E-6 23.130598953208494 0.0
8.145996691627815 0.7488135555164248 1.8410020568798917 7.3292253515705665 1.7022932365130279 82.30587009125848 1276.5335 0.0010561336602075606 63.66820431241564 5.092331913512988E-4 1.2731315042703424 1.2500377752947239E-6 23.47704671180164 0.0
