# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.947631052509989 0.9859432811920879 0.02710900783509929 0.0011863841750412243  -0.5261810314568743 -0.5261810314568743 -0.5261810314568743 0.0 0.0 0.0 301.414199299121 NaN 3.7376216556985002 1.1859003135623238E-4 0.5261810314568743 1.9999884509318295 6.379118429015321E-6 9.947631052509989 301.414199299121
9.954990581594492 0.985214392681935 0.02853931780359758 0.0012309760825369761  -0.5539629964665012 -0.5539629964665012 -0.5539629964665012 0.0 0.0 0.0 301.8603504829214 NaN 3.7432278474987624 1.1858763017740125E-4 0.5539629964665012 1.999988433293842 6.36472666846877E-6 9.954990581594492 301.8603504829214
9.96235011067949 0.9844865810815248 0.029969640728190798 0.0012756049748559465  -0.5817472559329018 -0.5817472559329018 -0.5817472559329018 0.0 0.0 0.0 302.3068316184507 NaN 3.7488264485188627 1.1858522899856996E-4 0.5817472559329018 1.99998847551404 6.350398137855607E-6 9.96235011067949 302.3068316184507
9.969709639764982 0.9837598440059686 0.03139997434521196 0.0013202708512072092  -0.6095338115681774 -0.6095338115681774 -0.6095338115681774 0.0 0.0 0.0 302.7536427190827 NaN 3.7544174765767906 1.1858282781973852E-4 0.6095338115681774 1.9999885774634962 6.33613242070762E-6 9.969709639764982 302.7536427190827
9.977069168850964 0.9830341790774156 0.03283031640440539 0.0013649737108020756  -0.6373226650845348 -0.6373226650845348 -0.6373226650845348 0.0 0.0 0.0 303.2007837982109 NaN 3.7600009494366637 1.1858042664090691E-4 0.6373226650845348 1.999988739013663 6.3219291042062475E-6 9.977069168850964 303.2007837982109
9.98442869793744 0.9823095839250244 0.03426066466884598 0.0014097135528542495  -0.6651138181943735 -0.6651138181943735 -0.6651138181943735 0.0 0.0 0.0 303.6482548692504 NaN 3.7655768848089552 1.1857802546207513E-4 0.6651138181943735 1.9999889600363727 6.307787779142649E-6 9.98442869793744 303.6482548692504
9.991788227024406 0.98158605618494 0.03569101691484911 0.0014544903765796593  -0.6929072726101796 -0.6929072726101796 -0.6929072726101796 0.0 0.0 0.0 304.0960559456359 NaN 3.7711453003506716 1.185756242832432E-4 0.6929072726101796 1.9999892404038342 6.29370803987839E-6 9.991788227024406 304.0960559456359
9.999147756111862 0.9808635935002659 0.037121370931891204 0.0014993041811965746  -0.720703030044612 -0.720703030044612 -0.720703030044612 0.0 0.0 0.0 304.544187040823 NaN 3.7767062136655745 1.1857322310441112E-4 0.720703030044612 1.9999895799886354 6.279689484306542E-6 9.999147756111862 304.544187040823
10.006507285199806 0.9801421935210396 0.03855172452252401 0.0015441549659255345  -0.7485010922104558 -0.7485010922104558 -0.7485010922104558 0.0 0.0 0.0 304.9926481682875 NaN 3.7822596423043717 1.1857082192557887E-4 0.7485010922104558 1.999989978663737 6.265731713813353E-6 10.006507285199806 304.9926481682875
10.013866814288239 0.9794218539042068 0.03998207550229301 0.0015890427299893829  -0.776301460820644 -0.776301460820644 -0.776301460820644 0.0 0.0 0.0 305.4414393415258 NaN 3.7878056037649137 1.1856842074674645E-4 0.776301460820644 1.9999904363024752 6.251834333240409E-6 10.013866814288239 305.4414393415258
