# MgO, SESAME 7460
# Ariadne hugoniot_rhottab, bilinear interpolation
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi st
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 MJ/kg.K - 1/K km/s deg g/cc K
3.61983991 0.9903830249774777 0.0660241407194984 6.865375085707719 -6.007739932197181E-4 1.6251334140752178 299.0242690449149 NaN 51.17236311227756 9.415827882815101E-4 1.605583650745041 8.161436604122854E-6 138.6797301683442 17.940973298942993 3.61983991 299.0242690449149
3.76320004 0.9526541140236596 0.34194207147097533 7.22221296358991 0.055682981905324766 8.853618095103862 317.0316692362629 NaN 57.49194655134311 9.154656002051207E-4 1.551733613164912 6.56590930811908E-6 77.99939127946678 23.807506343255167 3.76320004 317.0316692362629
3.94239998 0.9093516685742273 0.6960908186595232 7.679025170248351 0.23949333631881783 19.163156449645122 356.2516873194012 NaN 73.73625968145873 8.820589015145368E-4 1.490599198050559 4.5228968415081785E-6 41.1082871157339 33.055965882509156 3.94239998 356.2516873194012
4.30079985 0.8335723877036502 1.4367921052777408 8.633135364096386 1.0294102278929547 44.46887181017609 575.8727570770079 NaN 103.00891049634266 8.147221179725921E-4 1.3866474170895924 2.5500666293089725E-6 29.67183261365662 39.65894514437861 4.30079985 575.8727570770079
4.3045728754089465 0.8328417484764763 1.4458164677401484 8.649387359359183 1.0452402799246585 44.83241496271609 580.242004 NaN 103.04051794691092 0.0010844632151290657 1.3786042723522107 3.3706708689029197E-6 29.789455544855105 39.58608818098568 4.3045728754089465 580.242004
4.754712388711679 0.7539947123849877 2.4768086527731095 10.068111449088883 3.120107659935648 89.39918460463667 1160.47998 NaN 106.81756397064987 0.0011869427702113483 1.2318729489158846 2.8789145645611847E-6 37.922091845680924 34.86141199685227 4.754712388711679 1160.47998
5.01760006 0.7144905845684322 3.0590605267604594 10.71439455730898 4.676153763407422 117.50292141872792 1760.2007839193811 NaN 109.51907527587439 0.0011868585327633639 1.1919315526000867 2.5743314529689297E-6 39.9058695775181 33.66244274300075 5.01760006 1760.2007839193811
5.12512016 0.6995012581324532 3.320639122963085 11.050426042804366 5.510550663292921 131.55083780791625 2075.2697231162533 NaN 165.3486097148979 0.0011860656412662 1.176968999084522 1.6472865382658967E-6 27.704218899167667 42.92071597790052 5.12512016 2075.2697231162533
5.348296473708906 0.6703121297824904 3.9039963220635996 11.841492134630132 7.643388792287539 165.732877721556 2901.20996 NaN 165.5648693310828 0.0012487234006100388 1.088495239922179 1.5350026167260092E-6 30.90790379873972 40.538173647198306 5.348296473708906 2901.20996
5.7343998 0.6251792907777375 4.888736725326156 13.042867176336342 11.947104239402515 228.59276594100098 4746.376137726029 NaN 166.61606755066438 0.0012511632053908682 1.0535040735555523 1.3795750602570987E-6 35.41487021008693 37.494926663957024 5.7343998 4746.376137726029
