Ariadne V0.5
WXMaths V0.8
WXCloud V0.5
#state rho e tau(6) p c^2 T s cv gamma alphavol
0.0 293.0 0.0 23.93026785169404  -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 NaN 293.0 NaN 8.60275897467344E-4 NaN NaN
3.58400007E-6 293.0 3.58400007E-6 23.93026785169404  1.1613773560799662E-7 1.1613773560799662E-7 1.1613773560799662E-7 0.0 0.0 0.0 -1.1613773560799662E-7 -0.12331222806706882 293.0 NaN 8.60275897467344E-4 0.5969052657954853 -1161.9006942000751
7.16800014E-6 293.0 7.16800014E-6 23.789605490448075  4.887655436902503E-7 4.887655436902503E-7 4.887655436902503E-7 0.0 0.0 0.0 -4.887655436902503E-7 -0.20719924522173472 293.0 NaN 8.530867094782831E-4 0.6044139003372021 -347.1694053178963
1.79199997E-5 293.0 1.79199997E-5 23.560645764238018  2.27344673101691E-6 2.27344673101691E-6 2.27344673101691E-6 0.0 0.0 0.0 -2.27344673101691E-6 -0.3143178783260363 293.0 NaN 8.452501940953328E-4 0.6126179198288324 -91.93225078767972
3.58399993E-5 293.0 3.58399993E-5 23.34757899728434  6.513268785467157E-6 6.513268785467157E-6 6.513268785467157E-6 0.0 0.0 0.0 -6.513268785467157E-6 -0.4258869889356717 293.0 NaN 8.387220508314352E-4 0.6188399055172249 -34.004313187815605
7.16799987E-5 293.0 7.16799987E-5 23.092613433695988  1.774638756233636E-5 1.774638756233636E-5 1.774638756233636E-5 0.0 0.0 0.0 -1.774638756233636E-5 -0.5815665173105231 293.0 NaN 8.321932543612799E-4 0.6247067455295275 -12.471049499083898
1.79199997E-4 293.0 1.79199997E-4 22.677249133025846  6.364698644777556E-5 6.364698644777556E-5 6.364698644777556E-5 0.0 0.0 0.0 -6.364698644777556E-5 -0.7799140965982001 293.0 NaN 8.249923086597183E-4 0.6308330765766573 -3.7237420430575012
3.58399993E-4 293.0 3.58399993E-4 22.290576328693867  1.632569653868884E-4 1.632569653868884E-4 1.632569653868884E-4 0.0 0.0 0.0 -1.632569653868884E-4 -0.985152301769188 293.0 NaN 8.197718843085695E-4 0.6348506380028064 -1.4739854981645217
7.16799987E-4 293.0 7.16799987E-4 21.827804124361887  4.1269175550659877E-4 4.1269175550659877E-4 4.1269175550659877E-4 0.0 0.0 0.0 -4.1269175550659877E-4 -1.2703349313082295 293.0 NaN 8.145514599574438E-4 0.6385276693842558 -0.5711918716998574
0.00179200002 293.0 0.00179200002 21.073240659750596  0.0013832832390432482 0.0013832832390432482 0.0013832832390432482 0.0 0.0 0.0 -0.0013832832390432482 -1.633858146315838 293.0 NaN 8.073629251746406E-4 0.6430501456056963 -0.17732145460482893
0.00358400005 293.0 0.00358400005 20.370663717017383  0.0034216365930124534 0.0034216365930124534 0.0034216365930124534 0.0 0.0 0.0 -0.0034216365930124534 -1.9404791732221833 293.0 NaN 8.027904814236623E-4 0.6453733118946922 -0.0744965607954892
0.00537599996 293.0 0.00537599996 19.897080136905863  0.005794858697572907 0.005794858697572907 0.005794858697572907 0.0 0.0 0.0 -0.005794858697572907 -2.2125990690249075 293.0 NaN 7.995257565854325E-4 0.6470437138105603 -0.0434914712246014
0.00896000024 293.0 0.00896000024 19.22499361166247  0.011225129571475877 0.011225129571475877 0.011225129571475877 0.0 0.0 0.0 -0.011225129571475877 -2.551667635257318 293.0 NaN 7.969103187598887E-4 0.6477802454032666 -0.02257901663549971
0.0143360002 293.0 0.0143360002 18.522711328185625  0.020580044512779797 0.020580044512779797 0.020580044512779797 0.0 0.0 0.0 -0.020580044512779797 -2.8969955280537714 293.0 NaN 7.936462471279167E-4 0.6490321948577826 -0.012402732700722304
0.0215039998 293.0 0.0215039998 17.84402524573172  0.03466715203472991 0.03466715203472991 0.03466715203472991 0.0 0.0 0.0 -0.03466715203472991 -3.286127230769989 293.0 NaN 7.910419138086159E-4 0.6498432845161104 -0.007274522796261198
0.035840001 293.0 0.035840001 16.880738023853645  0.06675826393285018 0.06675826393285018 0.06675826393285018 0.0 0.0 0.0 -0.06675826393285018 -3.7452598110800235 293.0 NaN 7.884258227767912E-4 0.6502447699107301 -0.003819334925648663
0.0537599996 293.0 0.0537599996 16.01985063562881  0.11216871081998202 0.11216871081998202 0.11216871081998202 0.0 0.0 0.0 -0.11216871081998202 -4.238208064025207 293.0 NaN 7.85803199682493E-4 0.6511223853089606 -0.0022456128719863092
0.0895999968 293.0 0.0895999968 14.797964986828143  0.21537570704522685 0.21537570704522685 0.21537570704522685 0.0 0.0 0.0 -0.21537570704522685 -4.852582611399075 293.0 NaN 7.831923343006609E-4 0.651957990920024 -0.0011743758424931662
0.143360004 293.0 0.143360004 13.52157546260768  0.39200102092539 0.39200102092539 0.39200102092539 0.0 0.0 0.0 -0.39200102092539 -5.474449496166664 293.0 NaN 7.812366347877417E-4 0.6533918508553798 -6.504109679502934E-4
0.215039998 293.0 0.215039998 12.288584872040456  0.6563444059570837 0.6563444059570837 0.6563444059570837 0.0 0.0 0.0 -0.6563444059570837 -6.170091650454518 293.0 NaN 7.792744032123146E-4 0.6572408404387615 -3.860149200561949E-4
0.358399987 293.0 0.358399987 10.540774896260919  1.2533044638278343 1.2533044638278343 1.2533044638278343 0.0 0.0 0.0 -1.2533044638278343 -6.876761585550776 293.0 NaN 7.812301027252336E-4 0.6686217073882134 -2.1193734455041079E-4
