# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
0.9710462 1.0 0.0 -0.005762169779476569  -1.0128709827132574E-4 -1.0128709827132574E-4 -1.0128709827132574E-4 0.0 0.0 0.0 293.0 NaN 6.082423252042192 0.0010670793776963966 1.0128709827132574E-4 1.2805298481612892 2.3135021213042112E-4 0.9710462 293.0
0.9710462 1.0 0.0 -0.005762169779476569  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 6.082423252042192 0.0010670793776963966 1.0128709827132574E-4 1.2805298481612892 2.3135021213042112E-4 0.9710462 293.0
0.9719202288650133 0.9991007195456422 0.002221313600145306 -0.005621887877180412  -0.0063370080918218104 -0.0063370080918218104 -0.0063370080918218104 0.0 0.0 0.0 293.33760467660085 NaN 6.109418876485301 0.001066997813384571 0.0063370080918218104 1.2794124109811114 2.2990243174832422E-4 0.9719202288650133 293.33760467660085
0.9727942577301326 0.9982030550486477 0.004445539132061723 -0.00548188478279364  -0.012572406276756959 -0.012572406276756959 -0.012572406276756959 0.0 0.0 0.0 293.67499965080316 NaN 6.136413851658944 0.0010669162490727355 0.012572406276756959 1.278296986985804 2.2846856545162574E-4 0.9727942577301326 293.67499965080316
0.9736682865953573 0.997307002157248 0.006672660448686883 -0.005342160455899345  -0.018807481681068525 -0.018807481681068525 -0.018807481681068525 0.0 0.0 0.0 294.01218491239354 NaN 6.1634081778101875 0.0010668346847608901 0.018807481681068525 1.277183570755061 2.270484258187145E-4 0.9736682865953573 294.01218491239354
0.9745423154606871 0.9964125565352855 0.008902661518205013 -0.00520271485496512  -0.025042234334137325 -0.025042234334137325 -0.025042234334137325 0.0 0.0 0.0 294.34916045220143 NaN 6.1904018551879405 0.0010667531204490352 0.025042234334137325 1.2760721568880191 2.256418287244476E-4 0.9745423154606871 294.34916045220143
0.9754163443261221 0.9955197138621443 0.011135526422849129 -0.005063547937349929  -0.03127666426672298 -0.03127666426672298 -0.03127666426672298 0.0 0.0 0.0 294.6859262620927 NaN 6.217394884042938 0.0010666715561371701 0.03127666426672298 1.2749627400031756 2.2424859326829438E-4 0.9754163443261221 294.6859262620927
0.9762903731916617 0.9946284698326815 0.01337123935771913 -0.004924659659311276  -0.03751077151094992 -0.03751077151094992 -0.03751077151094992 0.0 0.0 0.0 295.02248233496334 NaN 6.2443872646277025 0.0010665899918252957 0.03751077151094992 1.2738553147382974 2.2286854170435082E-4 0.9762903731916617 295.02248233496334
0.9771644020573058 0.9937388201571561 0.015609784629621688 -0.004786049976011917  -0.04374455610030698 -0.04374455610030698 -0.04374455610030698 0.0 0.0 0.0 295.3588286647338 NaN 6.271378997196568 0.0010665084275134113 0.04374455610030698 1.2727498757503382 2.2150149937316387E-4 0.9771644020573058 295.3588286647338
0.9780384309230539 0.9928507605611624 0.01785114665592083 -0.004647718841527133  -0.049978018069630065 -0.049978018069630065 -0.049978018069630065 0.0 0.0 0.0 295.6949652463422 NaN 6.298370082005625 0.001066426863201517 0.049978018069630065 1.2716464177153517 2.2014729463531844E-4 0.9780384309230539 295.6949652463422
