# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.4032184747090835 0.9840566894340843 0.04434465247548585 -6.147172188539727E-5  -0.9134294223717945 -0.9134294223717945 -0.9134294223717945 0.0 0.0 0.0 304.60456450401523 4.32222200468512E-4 7.996266724037906 2.1219747300057286E-4 0.9134294223717945 2.4065159416060498 8.626231572454107E-6 7.4032184747090835 304.60456450401523
7.409775797568044 0.9831858429199081 0.046849535578136835 4.044496063945719E-5  -0.9663731641827422 -0.9663731641827422 -0.9663731641827422 0.0 0.0 0.0 305.25411538319685 4.322258405894848E-4 8.013228085195063 2.1218455383422476E-4 0.9663731641827422 2.405538868785369 8.596339768560641E-6 7.409775797568044 305.25411538319685
7.416333120427761 0.9823165363638999 0.04936692596399002 1.6077738401818948E-4  -1.0199029810611677 -1.0199029810611677 -1.0199029810611677 0.0 0.0 0.0 305.9042102495509 4.322297277074152E-4 8.185640451537244 2.1217155303025824E-4 1.0199029810611677 2.4045459015333934 8.403850806038317E-6 7.416333120427761 305.9042102495509
7.422890443288233 0.9814487656848992 0.05189680433859665 2.94943202606229E-4  -1.0738732647088483 -1.0738732647088483 -1.0738732647088483 0.0 0.0 0.0 306.5548408641044 4.3223339791484064E-4 8.202837841561793 2.1215849100322142E-4 1.0738732647088483 2.4035415180254667 8.374808192351574E-6 7.422890443288233 306.5548408641044
7.429447766149457 0.9805825268161548 0.05442709653396037 4.2920558517937994E-4  -1.1278475669790842 -1.1278475669790842 -1.1278475669790842 0.0 0.0 0.0 307.2060067769929 4.322354626777309E-4 8.219992264510356 2.1214542897618306E-4 1.1278475669790842 2.4025390452497866 8.345957916360297E-6 7.429447766149457 307.2060067769929
7.436005089011431 0.9797178157052594 0.05695779245917522 5.635644162987992E-4  -1.1818258886428132 -1.1818258886428132 -1.1818258886428132 0.0 0.0 0.0 307.8577075429162 4.32235929451203E-4 8.23710387371057 2.121323669491433E-4 1.1818258886428132 2.401538478176935 8.317298079670374E-6 7.436005089011431 307.8577075429162
7.442562411874155 0.9788546283140871 0.059488882102695866 6.98019580706415E-4  -1.2358082304710833 -1.2358082304710833 -1.2358082304710833 0.0 0.0 0.0 308.50994271731656 4.322348056472185E-4 8.25417282181235 2.1211930492210195E-4 1.2358082304710833 2.4005398117952232 8.288826808777016E-6 7.442562411874155 308.50994271731656
7.449119734737623 0.977992960618732 0.06203236380267798 8.41416212636618E-4  -1.2900783534412676 -1.2900783534412676 -1.2900783534412676 0.0 0.0 0.0 309.16271185637663 4.322329875812279E-4 8.428802847977588 2.1210620320445862E-4 1.2900783534412676 2.399534340164227 8.10605393040365E-6 7.449119734737623 309.16271185637663
7.455677057601836 0.9771328086094433 0.06458821869490117 0.001008258275470298  -1.345101536862832 -1.345101536862832 -1.345101536862832 0.0 0.0 0.0 309.8160078375378 4.3223193543994647E-4 8.446108055329956 2.1209299670629198E-4 1.345101536862832 2.3985078233036257 8.078370104500222E-6 7.455677057601836 309.8160078375378
7.462234380466793 0.9762741682905642 0.06714444077506462 0.0011751943036394446  -1.4001286411020963 -1.4001286411020963 -1.4001286411020963 0.0 0.0 0.0 310.46982824790797 4.3222930824315616E-4 8.463369711618956 2.120797902081238E-4 1.4001286411020963 2.3974832453866433 8.050867282586125E-6 7.462234380466793 310.46982824790797
7.468791703332488 0.9754170356804711 0.06970102017045737 0.0013422241774468072  -1.4551596667136366 -1.4551596667136366 -1.4551596667136366 0.0 0.0 0.0 311.1241726210317 4.322251132942672E-4 8.480587972189799 2.1206658370995416E-4 1.4551596667136366 2.3964606013314946 8.023543701182667E-6 7.468791703332488 311.1241726210317
7.475349026198923 0.9745614068115098 0.072257947085835 0.001509347777386057  -1.510194614252312 -1.510194614252312 -1.510194614252312 0.0 0.0 0.0 311.77904049123754 4.3221935785446824E-4 8.497762991702285 2.1205337721178307E-4 1.510194614252312 2.3954398860742296 7.996397619633695E-6 7.475349026198923 311.77904049123754
7.4819063490660955 0.9737072777299359 0.07481521180273364 0.0016765649841413595  -1.5652334842731739 -1.5652334842731739 -1.5652334842731739 0.0 0.0 0.0 312.4344313936366 4.3221204914301704E-4 8.514894924134381 2.120401707136104E-4 1.5652334842731739 2.3944210945686595 7.969427319737667E-6 7.4819063490660955 312.4344313936366
7.488463671934002 0.9728546444958541 0.07738472674973304 0.0018754856028590022  -1.6212986862451304 -1.6212986862451304 -1.6212986862451304 0.0 0.0 0.0 313.0903405743379 4.3220633684043166E-4 8.691730441925287 2.1202680639648865E-4 1.6212986862451304 2.393372187164321 7.796542228968542E-6 7.488463671934002 313.0903405743379
7.495020994802642 0.9720035031831561 0.07996647345856189 0.002075208173353201  -1.6773906933041551 -1.6773906933041551 -1.6773906933041551 0.0 0.0 0.0 313.74676285819726 4.3219914969500284E-4 8.709096838030343 2.1201343853114937E-4 1.6773906933041551 2.3923245274700267 7.770295038772405E-6 7.495020994802642 313.74676285819726
7.5015783176720126 0.9711538498794619 0.08254853225618658 0.0022750218682884038  -1.7334865179828853 -1.7334865179828853 -1.7334865179828853 0.0 0.0 0.0 314.40369775680864 4.3219042414000604E-4 8.726419236778655 2.1200007066580858E-4 1.7334865179828853 2.391278831181158 7.744216818125195E-6 7.5015783176720126 314.40369775680864
7.508135640542112 0.9703056806860587 0.08513089355238057 0.0024749265637905075  -1.7895861606155232 -1.7895861606155232 -1.7895861606155232 0.0 0.0 0.0 315.0611447828 4.3218016729142653E-4 8.743697794931698 2.119867028004663E-4 1.7895861606155232 2.3902350931783407 7.718305946432363E-6 7.508135640542112 315.0611447828
7.514692963412939 0.9694589917178422 0.08771354783194583 0.0026749221361866823  -1.8456896215366356 -1.8456896215366356 -1.8456896215366356 0.0 0.0 0.0 315.7191034496259 4.3216838622420716E-4 8.760932668561022 2.119733349351225E-4 1.8456896215366356 2.389193308360075 7.6925608237466E-6 7.514692963412939 315.7191034496259
7.52125028628449 0.9686137791032569 0.09030805646762145 0.002896966764340218  -1.9025014260037065 -1.9025014260037065 -1.9025014260037065 0.0 0.0 0.0 316.37757151270785 4.321572867154481E-4 8.93604471927514 2.1195984549692544E-4 1.9025014260037065 2.388129475216187 7.531406496521182E-6 7.52125028628449 316.37757151270785
7.527807609156763 0.9677700389842363 0.09291440148831995 0.0031293719837049597  -1.9596465249742432 -1.9596465249742432 -1.9596465249742432 0.0 0.0 0.0 317.036540517694 4.3214569923777433E-4 8.953504984998661 2.1194629918721054E-4 1.9596465249742432 2.387056408908768 7.506317477713593E-6 7.527807609156763 317.036540517694
7.534364932029761 0.9669277675161454 0.09552101426929414 0.0033618654067747505  -2.016795327716899 -2.016795327716899 -2.016795327716899 0.0 0.0 0.0 317.6960099497724 4.3213260159516876E-4 8.97092063099877 2.1193275287749414E-4 2.016795327716899 2.385985339069908 7.481388092772767E-6 7.534364932029761 317.6960099497724
