# Initial state: 1.186 g/cc, 293 K, -0.019118048529789565 MJ/kg
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 - 1/K km/s deg
1.226246823618623 0.9671812410520567 0.0657895683394794 2.004633034534732 -0.030182867263024764 0.15651603151435123 298.151806 0.005576025891758768 4.320978443707638 0.003234965137703552 0.9789023600285264 5.976528366643874E-4 29.795766369256434 20.501870805565673
1.19786 0.9901014515081916 0.01749914883321758 1.7678499880764562 -0.01896409303951152 0.03679132292073208 295.6442471273341 0.005631759701363827 4.129024569640346 0.003641191765840515 0.056016768299322735 4.123899491593712E-5 12.754412710342704 30.27786196739682
1.2453 0.952383300974546 0.1046524789544581 2.197810455078273 -0.013637911150912108 0.27288944975779267 307.47302407376657 0.005659344289898566 6.405973208813281 0.0032402790933613724 0.9684525860600584 3.9337039852602786E-4 12.704657427743875 32.919828123618785
1.3046 0.9090931509302487 0.2320240078476753 2.5523270273029373 0.007807285476672407 0.7024535819770568 323.10403527690346 0.005720382509628984 10.341121808941928 0.0032539995034362966 0.9384902332992648 2.2636131684051428E-4 9.165891429013708 41.09956970138556
1.389992 0.8532444249345337 0.45185852236581897 3.078987099224334 0.08298254724445238 1.6501475009903754 349.43037690293505 0.00583841788296635 13.949529458207422 0.0032692394170223855 0.901054409688449 1.519238242133587E-4 10.38089481716154 40.768471944787635
1.4232 0.8333353883527279 0.5469696651191444 3.2818584564115345 0.1304840927382841 2.129067887378128 361.8044149742118 0.005899216336940007 18.200120848789854 0.0032741865054222606 0.8880721728051795 1.1225649275202837E-4 9.143340119430729 44.933228336362056
1.6604 0.7142874757309096 1.2717044591408109 4.450993047623951 0.7895224684418995 6.71329022502921 492.2377130485436 0.006452185614453012 34.93266284019611 0.0032956140410643968 0.8158218263060759 4.635400334213219E-5 9.632423511807403 48.22448249518676
1.7390064617302972 0.6820002977582609 1.6046258576608827 5.045997987888265 1.2695260171903575 9.603094446699478 580.2425 0.0067520198398744345 36.12441049202018 0.0032243086096280307 0.7894413855032836 4.051860908487774E-5 11.805534113845503 44.31994032962318
1.8976 0.6250015412645459 2.2385293274303937 5.969436074428199 2.486420753089008 15.848371029564113 837.1515102994733 0.007903522605216741 42.5645570026867 0.003244769936707498 0.7633776584154189 3.066694861471808E-5 13.94274622948572 41.878849039290635
2.006712 0.5910180059239205 2.6803137722966106 6.553622925018098 3.5729578395506163 20.833150885471014 1048.8514703439278 0.008400073621701459 45.59363210213792 0.003255360836202105 0.7492182297594531 2.665742721209425E-5 15.370655995134923 40.162656221153306
2.0612989641788486 0.5753667688743372 2.897869631123114 6.8244061432524585 4.1789380427819625 23.454778955390083 1160.485 0.008578572909606175 46.22695699185029 0.0030975967026951753 0.7214832588802744 2.345388766748765E-5 16.15294890318568 39.123075812499934
2.125312 0.5580370904147731 3.149206449676674 7.125499405893901 4.93967032864618 26.613613981778872 1313.9036284798854 0.009061819020289462 48.72629331147584 0.0031043952313041527 0.7164620992224865 2.1477521345894133E-5 16.556875796218282 38.83975522449241
2.1348 0.5555569255684853 3.187139626193678 7.171086264017806 5.059849407549015 27.106498424553767 1338.2855788567454 0.009128180277334723 53.91081504822338 0.0031053535432742914 0.7157635971380258 1.931290332936884E-5 15.677751412148455 40.69755665660144
2.372 0.5000012330116368 4.210545179088157 8.421111124832336 8.845270006426091 42.0527630483277 2168.296914734184 0.010480747637066244 70.88059870410123 0.003126409015770705 0.7009287502744359 1.3033996693647191E-5 16.846364802297927 40.884168745128314
2.504964789534536 0.4734609163604177 4.888322280074422 9.283873566013371 11.920755248781802 53.82395729490079 2901.2125 0.01101515116017419 74.56040752860982 0.003004389000028577 0.6833710739669695 1.0992661536970337E-5 18.909963084588718 38.679490166420656
2.554644 0.46425369824664503 5.141038411254051 9.596031544088689 13.196065679867106 58.509855758442164 3227.910847588938 0.011395082514809803 96.99350694532609 0.0030069110759725457 0.6818969737165508 8.274967517389186E-6 17.52223474944311 42.468071958656296
2.8078926315014976 0.42238186439108855 6.761347909669511 11.705567212743167 22.762269499753476 93.86679188020577 5802.425 0.012875304495179717 108.7319209552391 0.0029876723808383273 0.6691125343305933 6.547787551423918E-6 22.260437064433503 38.107386722374294
2.965 0.4000009864093094 7.802860644194302 13.00478912039893 30.423250310732037 120.34922292889689 7986.999293703302 0.01375490225137023 184.20739668812456 0.00298863285609034 0.6671114757732406 3.6503895754832723E-6 21.08686313556342 43.948120470063905
2.9944962771199783 0.39606091140118777 8.113107928140122 13.433652633683957 32.87006265260783 129.2609870419814 8703.6375 0.013954327050707534 187.10230160994718 0.0030199133513802326 0.6624384164865965 3.5705661636999566E-6 21.985272406793616 43.168965182199564
3.104729884887974 0.38199874664664946 9.264564185590084 14.991173780505173 42.76481236147575 164.72012385725824 11604.85 0.014754695424565008 198.9963680765535 0.003103471749404946 0.6594442958792015 3.312508034234203E-6 25.235639609083382 40.69451612351683
3.287683395545421 0.36074122170965506 11.220971797192448 17.553097709822914 62.62782177491727 233.59857517377802 17407.275 0.015898694155403882 221.26632107583754 0.003267836485998617 0.6517122054679563 2.927594137584351E-6 30.56372145338386 37.48149200816123
3.4356361290574293 0.3452062093167543 12.907172646611812 19.711812833691962 82.98760584230722 301.74743831135913 23209.7 0.016738489825473275 242.95448310720695 0.003431546447226525 0.6482748674286599 2.6651213490878716E-6 34.98468239340932 35.42854817070556
