#state rho e tau(6) p c^2 T s cv gamma alphavol
12.281310123417862 1460.86 12.281310123417862 NaN  NaN NaN NaN 0.0 0.0 0.0 NaN NaN 1460.86 NaN NaN NaN NaN
#245.662 751823.3299246748 245.662 -270009.1644325481  -1175618.3180832167 -1175618.3180832167 -1175618.3180832167 0.0 0.0 0.0 1175618.3180832167 577572.8207605884 751823.3299246748 0.0020770525147842363 0.001555091810033384 126.89233732623312 1.3907424143743905E-9
347.00700000000006 1219069.5881355836 347.00700000000006 -269083.84319344803  -570872.7409073979 -570872.7409073979 -570872.7409073979 0.0 0.0 0.0 570872.7409073979 4409.70001020217 1219069.5881355836 0.002581986293341786 0.0018291335262830173 0.5967156637420333 7.132890662038714E-10
436.8570000000001 1556445.055309638 436.8570000000001 -268306.73099117284  -1020919.8590352329 -1020919.8590352329 -1020919.8590352329 0.0 0.0 0.0 1020919.8590352329 5534.970285862572 1556445.055309638 0.002816083035956716 0.001958115011159859 0.5175958225477463 4.191547253409421E-10
549.97 2042681.940003151 549.97 -267118.5399336071  -1804319.1342984065 -1804319.1342984065 -1804319.1342984065 0.0 0.0 0.0 1804319.1342984065 7208.28987811956 2042681.940003151 0.003125606148021209 0.0020818469055313383 0.5298502946277899 2.7824715091335253E-10
617.076 2319382.7052236306 617.076 -266423.2751026372  -2354478.688449401 -2354478.688449401 -2354478.688449401 0.0 0.0 0.0 2354478.688449401 8925.856279290434 2319382.7052236306 0.003245609029921936 0.0022982708723173965 0.5541863946336336 2.3124296386470854E-10
776.853 3020094.740040893 776.853 -264523.10428179975  -4123024.860480049 -4123024.860480049 -4123024.860480049 0.0 0.0 0.0 4123024.860480049 11549.59539447385 3020094.740040893 0.0035771795472429938 0.002420050058001441 0.5686751341045442 1.5338502820539383E-10
978.0 3806486.6323447386 978.0 -262256.6859403155  1.3969073511118919E7 1.3969073511118919E7 1.3969073511118919E7 0.0 0.0 0.0 -1.3969073511118919E7 983185.4853358448 3806486.6323447386 0.003828964805986273 0.002608122820094886 -59.34208264711738 -1.6095946129997395E-10
1231.2299999999998 4744976.927415239 1231.2299999999998 -259412.44912973593  -2.1768789701145005E8 -2.1768789701145005E8 -2.1768789701145005E8 0.0 0.0 0.0 2.1768789701145005E8 -8392328.550927198 4744976.927415239 0.004053183155448028 0.0026753620248486805 -57.842458475816535 1.4976407038633697E-11
2189.4699999999993 8019547.857207445 2189.4699999999993 -248367.89779816903  -4.017917697324774E7 -4.017917697324774E7 -4.017917697324774E7 0.0 0.0 0.0 4.017917697324774E7 36273.93645630455 8019547.857207445 0.0045994001034195126 0.0029269369114672244 0.5819036818280204 2.1445233528335333E-11
2756.3800000000006 9557251.641726077 2756.3800000000006 -242594.5045563835  -6.3568757422899395E7 -6.3568757422899395E7 -6.3568757422899395E7 0.0 0.0 0.0 6.3568757422899395E7 47906.24340498971 9557251.641726077 0.004712411049723803 0.003106051871203705 0.5810918020925763 1.3668543710602828E-11
3893.49 1.2441122955119342E7 3893.49 -230981.1261259747  -1.2879564656980723E8 -1.2879564656980723E8 -1.2879564656980723E8 0.0 0.0 0.0 1.2879564656980723E8 66050.52014411225 1.2441122955119342E7 0.004918203738034425 0.003201968516256144 0.4904586549835917 6.106665822190776E-12
6396.018396509913 1.83911E7 6396.018396509913 -206998.70101804702  -3.3595576092415637E8 -3.3595576092415637E8 -3.3595576092415637E8 0.0 0.0 0.0 3.3595576092415637E8 100529.00702354519 1.83911E7 0.005141703487746933 0.003754172800315763 0.5124579014957656 2.992067284908481E-12
