#state rho e tau(6) p c^2 T s cv gamma alphavol
9.78 11.604 9.78 -270981.49798832723  -22.334146328549803 -22.334146328549803 -22.334146328549803 0.0 0.0 0.0 22.334146328549803 -68.54624399930636 11.604 3.005399628179915E-4 -7.325020515642193E-4 -0.7334464574946248 -8.014099743150232E-7
9.78 14.6086 9.78 -270981.5001892029  -22.34993344376119 -22.34993344376119 -22.34993344376119 0.0 0.0 0.0 22.34993344376119 -88.38701638418925 14.6086 1.3261494266879011E-4 3.49672539535139E-5 -9.42000250670621 3.810528526861505E-7
9.78 18.3911 9.78 -270981.50005693926  -22.33774830897517 -22.33774830897517 -22.33774830897517 0.0 0.0 0.0 22.33774830897517 -63.3226730673406 18.3911 1.1806720011585057E-4 4.305118005802168E-4 1.5415748319049578 -1.0716465671599443E-6
9.78 23.153 9.78 -270981.4980068851  -22.368656159075243 -22.368656159075243 -22.368656159075243 0.0 0.0 0.0 22.368656159075243 -57.361772298971594 23.153 2.3021276208637617E-4 9.878758287259889E-5 4.138520312409465 -7.287625291810194E-7
9.78 29.1479 9.78 -270981.49741466343  -22.392626170899852 -22.392626170899852 -22.392626170899852 0.0 0.0 0.0 22.392626170899852 -111.78556006704933 29.1479 2.498549151958618E-4 -3.384465594502128E-5 -19.64672568674376 -6.082130344376171E-7
9.78 36.6951 9.78 -270981.4976700958  -22.441706221147204 -22.441706221147204 -22.441706221147204 0.0 0.0 0.0 22.441706221147204 -65.75266422972713 36.6951 2.4883053375344055E-4 2.782220452004183E-4 0.44918227247408843 -1.94339883152728E-7
9.78 46.1964 9.78 -270981.4950266247  -22.453318996707427 -22.453318996707427 -22.453318996707427 0.0 0.0 0.0 22.453318996707427 -58.95380659822305 46.1964 2.9831415886117095E-4 3.120982230586896E-4 3.396579815873652 -1.8385794994509967E-6
9.78 58.1578 9.78 -270981.491293493  -22.577328220489015 -22.577328220489015 -22.577328220489015 0.0 0.0 0.0 22.577328220489015 -86.28326537141255 58.1578 3.85058937014425E-4 -6.735549240420727E-5 -8.474970516446366 -6.764657052858984E-7
9.78 73.2163 9.78 -270981.4923077657  -22.66139642643882 -22.66139642643882 -22.66139642643882 0.0 0.0 0.0 22.66139642643882 -58.27478970065142 73.2163 3.6527107641677115E-4 1.6889802939117892E-4 3.62507345551387 -1.0742907193924311E-6
9.78 92.1738 9.78 -270981.4891058813  -22.774913533070198 -22.774913533070198 -22.774913533070198 0.0 0.0 0.0 22.774913533070198 -50.7636076564594 92.1738 4.023563895266456E-4 1.1057508830678031E-4 6.799030590464186 -1.5143036055402028E-6
