#state rho e tau(6) p c^2 T s cv gamma alphavol
13.8146 298.0 13.8146 -270982.87404993153  -12.104245376909137 -12.104245376909137 -12.104245376909137 0.0 0.0 0.0 12.104245376909137 13.911962921358544 298.0 2.985165105591959E-4 1.718881612867989E-4 1.0624857894197168 9.502598281851113E-7
15.5003 298.0 15.5003 -270982.69555223273  -33.98635266723167 -33.98635266723167 -33.98635266723167 0.0 0.0 0.0 33.98635266723167 12.465077598964937 298.0 2.903301355150847E-4 -3.904323727004023E-4 -1.3767508885220345 2.782057457605635E-6
17.3916 298.0 17.3916 -270982.3799341962  -63.27081948582235 -63.27081948582235 -63.27081948582235 0.0 0.0 0.0 63.27081948582235 19.98718868736296 298.0 2.0871188428296688E-4 1.1051942611304504E-4 0.21163657775075284 6.728807447635159E-8
19.5137 298.0 19.5137 -270981.8671875736  -104.05175131973735 -104.05175131973735 -104.05175131973735 0.0 0.0 0.0 104.05175131973735 32.97854232507022 298.0 2.0446867882055323E-4 1.7598994652874315E-4 1.4811973206828066 4.0506964333545013E-7
21.8947 298.0 21.8947 -270981.1498786321  -163.76828189711878 -163.76828189711878 -163.76828189711878 0.0 0.0 0.0 163.76828189711878 -290.91677313731753 298.0 1.4999810658589057E-4 -6.773367409928224E-6 -43.19507982532084 -4.593367086297422E-8
24.5662 298.0 24.5662 -270980.1363043925  -249.72215500365596 -249.72215500365596 -249.72215500365596 0.0 0.0 0.0 249.72215500365596 53.88164762795477 298.0 1.5123173064746014E-4 1.7763428981209595E-4 1.2641508488865218 1.6964726169162877E-7
27.5638 298.0 27.5638 -270978.8019088238  -372.71730358642907 -372.71730358642907 -372.71730358642907 0.0 0.0 0.0 372.71730358642907 84.47933830262168 298.0 7.702728644350931E-5 2.0522755388053388E-4 2.449146878498379 2.158544002612354E-7
30.9271 298.0 30.9271 -270977.0143714606  -545.4631509929678 -545.4631509929678 -545.4631509929678 0.0 0.0 0.0 545.4631509929678 61.343389231029576 298.0 5.708632704758104E-5 2.2537756421205806E-4 -0.12904197959258315 -1.5329737984617135E-8
34.7007 298.0 34.7007 -270974.699139121  -785.5369811105762 -785.5369811105762 -785.5369811105762 0.0 0.0 0.0 785.5369811105762 133.24276762994293 298.0 7.873822387226626E-5 8.892331265009034E-5 2.426850124616003 4.667418128952679E-8
38.9349 298.0 38.9349 -270971.7306418245  -1117.0958257482412 -1117.0958257482412 -1117.0958257482412 0.0 0.0 0.0 1117.0958257482412 12.254011215208502 298.0 1.245442500116066E-4 -1.1752136224784656E-4 -2.8789724916619828 7.091481840480458E-7
43.6857 298.0 43.6857 -270968.040941376  -1567.7362438477055 -1567.7362438477055 -1567.7362438477055 0.0 0.0 0.0 1567.7362438477055 517.2827245923793 298.0 5.955099723545597E-5 2.818373031790833E-5 11.199375620631075 1.3967703634306457E-8
49.0161 298.0 49.0161 -270963.42442717886  -2182.7254353165886 -2182.7254353165886 -2182.7254353165886 0.0 0.0 0.0 2182.7254353165886 -111.41249396119072 298.0 3.944676456935454E-5 1.8950987429594392E-5 -5.6248715776358855 1.9519640086375817E-8
54.997 298.0 54.997 -270957.6985619623  -3014.4739813942533 -3014.4739813942533 -3014.4739813942533 0.0 0.0 0.0 3014.4739813942533 293.8628697226571 298.0 9.021311767880599E-5 -1.0716533305265403E-4 2.3078163924665316 -1.5302833619472336E-8
61.7076 298.0 61.7076 -270950.70834174636  -4137.6119594540605 -4137.6119594540605 -4137.6119594540605 0.0 0.0 0.0 4137.6119594540605 264.51852516142776 298.0 4.831794356370982E-5 -1.6376603617878195E-4 0.9431908622152813 -9.462996374878646E-9
69.2371 298.0 69.2371 -270942.16488162964  -5653.117973000805 -5653.117973000805 -5653.117973000805 0.0 0.0 0.0 5653.117973000805 317.623874097408 298.0 4.13268007222413E-5 -1.494850859723002E-4 0.9374676924512756 -6.372387361086986E-9
77.6853 298.0 77.6853 -270931.7931600303  -7689.817399395918 -7689.817399395918 -7689.817399395918 0.0 0.0 0.0 7689.817399395918 356.465562355085 298.0 4.307198339773205E-6 1.3663613122111176E-4 0.6813392497589864 3.3618051475476325E-9
87.1643 298.0 87.1643 -270919.22903435864  -10429.456810123336 -10429.456810123336 -10429.456810123336 0.0 0.0 0.0 10429.456810123336 1101.4606080320398 298.0 2.1443446205878918E-5 5.77712823862503E-5 6.304579448954273 3.793678412337778E-9
97.8 298.0 97.8 -270904.0616087643  -14121.10526354876 -14121.10526354876 -14121.10526354876 0.0 0.0 0.0 14121.10526354876 350.89954936999516 298.0 1.177570689625838E-5 7.408015782131798E-5 -0.45109031001292327 -9.737416165556677E-10
109.733 298.0 109.733 -270885.7685187541  -19085.607808383276 -19085.607808383276 -19085.607808383276 0.0 0.0 0.0 19085.607808383276 1580.6958169772904 298.0 3.3023269868912115E-5 -2.8066441942867568E-5 6.22603735575746 -1.007426857989023E-9
123.123 298.0 123.123 -270863.75975112646  -25751.357188717317 -25751.357188717317 -25751.357188717317 0.0 0.0 0.0 25751.357188717317 -6.232282628189978 298.0 1.9162409077867267E-5 -9.915162002158781E-5 -2.871991193734765 -3.711048152065635E-7
138.146 298.0 138.146 -270837.32212131174  -34681.76323597289 -34681.76323597289 -34681.76323597289 0.0 0.0 0.0 34681.76323597289 -1031.4366522686173 298.0 2.7946929756751998E-6 -6.792905754704899E-5 -6.945107853461157 -3.3109582851607895E-9
