# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.343440392437156 0.9455267907910864 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639944184595966 NaN 0.5960337538249045 NaN 10.343440392437156 NaN
10.361047904952347 0.9439199673350974 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639939544953921 NaN 0.596034707262252 NaN 10.361047904952347 NaN
10.378655417481903 0.9423185958680618 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639934905311871 NaN 0.5960356591298045 NaN 10.378655417481903 NaN
10.39626293002575 0.9407226486888953 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639930265669817 NaN 0.5960366094355419 NaN 10.39626293002575 NaN
10.413870442583821 0.9391320982838586 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.00563992562602776 NaN 0.5960375581873903 NaN 10.413870442583821 NaN
10.431477955156039 0.9375469173249771 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056399209863856985 NaN 0.5960385053932226 NaN 10.431477955156039 NaN
10.449085467742334 0.9359670786684742 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639916346743635 NaN 0.5960394510608578 NaN 10.449085467742334 NaN
10.466692980342632 0.9343925553532235 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639911707101565 NaN 0.5960403951980635 NaN 10.466692980342632 NaN
10.484300492956864 0.9328233205992141 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639907067459493 NaN 0.5960413378125539 NaN 10.484300492956864 NaN
10.501908005584964 0.9312593478060319 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639902427817417 NaN 0.5960422789119922 NaN 10.501908005584964 NaN
10.51951551822686 0.9297006105513582 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639897788175339 NaN 0.5960432185039901 NaN 10.51951551822686 NaN
10.537123030882483 0.9281470825894803 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639893148533255 NaN 0.5960441565961085 NaN 10.537123030882483 NaN
10.554730543551763 0.9265987378498192 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639888508891168 NaN 0.596045093195858 NaN 10.554730543551763 NaN
10.572338056234635 0.9250555504354702 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639883869249078 NaN 0.5960460283106984 NaN 10.572338056234635 NaN
10.589945568931029 0.9235174946217607 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639879229606984 NaN 0.5960469619480409 NaN 10.589945568931029 NaN
10.607553081640877 0.9219845448548193 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639874589964886 NaN 0.5960478941152467 NaN 10.607553081640877 NaN
10.625160594364111 0.9204566757501614 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639869950322786 NaN 0.596048824819629 NaN 10.625160594364111 NaN
10.642768107100666 0.9189338620912878 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056398653106806826 NaN 0.5960497540684514 NaN 10.642768107100666 NaN
10.660375619850479 0.9174160788282967 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639860671038574 NaN 0.596050681868931 NaN 10.660375619850479 NaN
10.677983132613482 0.9159033010765116 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639856031396463 NaN 0.5960516082282361 NaN 10.677983132613482 NaN
10.695590645389611 0.9143955041151204 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639851391754348 NaN 0.5960525331534884 NaN 10.695590645389611 NaN
10.7131981581788 0.9128926633858288 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639846752112229 NaN 0.5960534566517628 NaN 10.7131981581788 NaN
10.730805670980981 0.9113947544915272 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639842112470109 NaN 0.5960543787300872 NaN 10.730805670980981 NaN
10.748413183796098 0.90990175319497 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056398374728279825 NaN 0.5960552993954442 NaN 10.748413183796098 NaN
10.766020696624082 0.9084136354174694 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056398328331858545 NaN 0.59605621865477 NaN 10.766020696624082 NaN
10.783628209464874 0.9069303772375996 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639828193543722 NaN 0.5960571365149561 NaN 10.783628209464874 NaN
10.80123572231841 0.9054519548899161 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639823553901587 NaN 0.5960580529828488 NaN 10.80123572231841 NaN
10.818843235184623 0.9039783447636862 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639818914259449 NaN 0.5960589680652498 NaN 10.818843235184623 NaN
10.83645074806346 0.9025095234016309 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639814274617307 NaN 0.5960598817689167 NaN 10.83645074806346 NaN
10.854058260954854 0.9010454674986821 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639809634975163 NaN 0.5960607941005631 NaN 10.854058260954854 NaN
10.871665773858746 0.899586153900749 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639804995333013 NaN 0.5960617050668594 NaN 10.871665773858746 NaN
10.88927328677507 0.8981315596034977 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056398003556908625 NaN 0.5960626146744322 NaN 10.88927328677507 NaN
10.906880799703773 0.8966816617511416 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639795716048706 NaN 0.5960635229298665 NaN 10.906880799703773 NaN
10.924488312644792 0.8952364376352456 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056397910764065485 NaN 0.5960644298397036 NaN 10.924488312644792 NaN
10.94209582559807 0.8937958646935398 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639786436764387 NaN 0.5960653354104434 NaN 10.94209582559807 NaN
10.959703338563545 0.8923599205087457 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639781797122222 NaN 0.5960662396485435 NaN 10.959703338563545 NaN
10.977310851541159 0.8909285828074129 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639777313945388 NaN 0.5960671467372773 NaN 10.977310851541159 NaN
10.994918364530855 0.8895018294587678 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639773361181143 NaN 0.596068066486665 NaN 10.994918364530855 NaN
11.012525877532575 0.8880796384735733 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639769408416895 NaN 0.5960689846321408 NaN 11.012525877532575 NaN
11.03013339054626 0.8866619880029983 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639765455652644 NaN 0.5960699011813888 NaN 11.03013339054626 NaN
11.047740903571851 0.8852488563375 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639761502888391 NaN 0.5960708161420436 NaN 11.047740903571851 NaN
11.065348416609295 0.8838402219057139 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639757550124135 NaN 0.5960717295216916 NaN 11.065348416609295 NaN
11.082955929658535 0.8824360632733582 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639753597359876 NaN 0.5960726413278707 NaN 11.082955929658535 NaN
11.100563442719515 0.8810363591421453 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639749644595615 NaN 0.5960735515680715 NaN 11.100563442719515 NaN
11.118170955792179 0.8796410883487055 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639745691831352 NaN 0.5960744602497362 NaN 11.118170955792179 NaN
11.135778468876468 0.8782502298635204 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639741739067085 NaN 0.5960753673802608 NaN 11.135778468876468 NaN
11.153385981972333 0.8768637627898656 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639737786302816 NaN 0.5960762729669944 NaN 11.153385981972333 NaN
11.170993495079715 0.8754816663627651 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639733833538545 NaN 0.5960771770172393 NaN 11.170993495079715 NaN
11.188601008198562 0.8741039199479546 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.00563972988077427 NaN 0.5960780795382523 NaN 11.188601008198562 NaN
11.20620852132882 0.8727305030408534 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639725928009994 NaN 0.5960789805372447 NaN 11.20620852132882 NaN
11.223816034470431 0.8713613952655492 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639721975245714 NaN 0.5960798800213821 NaN 11.223816034470431 NaN
11.241423547623347 0.8699965763737885 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639718022481433 NaN 0.5960807779977857 NaN 11.241423547623347 NaN
11.259031060787514 0.8686360262439792 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639714069717148 NaN 0.5960816744735317 NaN 11.259031060787514 NaN
11.276638573962877 0.8672797248802021 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639710116952861 NaN 0.5960825694556522 NaN 11.276638573962877 NaN
11.294246087149386 0.865927652411231 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639706164188572 NaN 0.5960834629511356 NaN 11.294246087149386 NaN
11.311853600346986 0.864579789089562 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.00563970221142428 NaN 0.5960843549669267 NaN 11.311853600346986 NaN
11.32946111355563 0.863236115290452 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639698258659986 NaN 0.5960852455099273 NaN 11.32946111355563 NaN
11.347068626775265 0.8618966115109667 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639694305895689 NaN 0.5960861345869961 NaN 11.347068626775265 NaN
11.364676140005837 0.8605612583690375 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639690353131391 NaN 0.5960870222049495 NaN 11.364676140005837 NaN
11.382283653247297 0.8592300366025252 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639686400367088 NaN 0.5960879083705617 NaN 11.382283653247297 NaN
11.399891166499597 0.8579029270682946 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639682447602784 NaN 0.5960887930905646 NaN 11.399891166499597 NaN
11.417498679762684 0.8565799107412974 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639678494838477 NaN 0.5960896763716494 NaN 11.417498679762684 NaN
11.435106193036509 0.855260968713662 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056396745420741684 NaN 0.5960905582204653 NaN 11.435106193036509 NaN
11.452713706321019 0.853946082193794 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639670589309857 NaN 0.5960914386436212 NaN 11.452713706321019 NaN
11.47032121961617 0.8526352325054821 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056396666365455435 NaN 0.5960923176476852 NaN 11.47032121961617 NaN
11.487928732921915 0.8513284010870156 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639662683781227 NaN 0.596093195239185 NaN 11.487928732921915 NaN
11.5055362462382 0.8500255694903073 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639658731016909 NaN 0.5960940714246084 NaN 11.5055362462382 NaN
11.52314375956498 0.8487267193800255 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639654778252587 NaN 0.5960949462104036 NaN 11.52314375956498 NaN
11.540751272902202 0.8474318325327344 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639650825488264 NaN 0.5960958196029795 NaN 11.540751272902202 NaN
11.558358786249826 0.8461408908360402 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639646872723939 NaN 0.5960966916087058 NaN 11.558358786249826 NaN
11.5759662996078 0.844853876287749 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639642919959611 NaN 0.5960975622339136 NaN 11.5759662996078 NaN
11.593573812976075 0.8435707709950284 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639638967195281 NaN 0.5960984314848956 NaN 11.593573812976075 NaN
11.61118132635461 0.8422915571735784 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639635014430949 NaN 0.596099299367906 NaN 11.61118132635461 NaN
11.62878883974335 0.8410162171468104 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639631061666614 NaN 0.5961001658891615 NaN 11.62878883974335 NaN
11.646396353142258 0.8397447333450321 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639627108902277 NaN 0.5961010310548408 NaN 11.646396353142258 NaN
11.664003866551282 0.8384770883046415 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056396231561379375 NaN 0.5961018948710858 NaN 11.664003866551282 NaN
11.681611379970377 0.837213264667327 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639619203373597 NaN 0.5961027573440009 NaN 11.681611379970377 NaN
11.6992188933995 0.835953245179275 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639615250609252 NaN 0.596103618479654 NaN 11.6992188933995 NaN
11.716826406838601 0.8346970126903851 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639611297844906 NaN 0.5961044782840765 NaN 11.716826406838601 NaN
11.734433920287643 0.833444550153491 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056396073450805575 NaN 0.5961053367632636 NaN 11.734433920287643 NaN
11.752041433746575 0.8321958406235908 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639603392316207 NaN 0.5961061939231744 NaN 11.752041433746575 NaN
11.769648947215353 0.8309508672570819 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395994395518545 NaN 0.5961070497697326 NaN 11.769648947215353 NaN
11.787256460693934 0.8297096133110041 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395954867875 NaN 0.5961079043088263 NaN 11.787256460693934 NaN
11.804863974182277 0.8284720621422883 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639591534023143 NaN 0.5961087575463088 NaN 11.804863974182277 NaN
11.822471487680335 0.8272381972070135 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639587581258783 NaN 0.596109609487998 NaN 11.822471487680335 NaN
11.840079001188066 0.8260080020596693 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639583628494422 NaN 0.5961104601396773 NaN 11.840079001188066 NaN
11.857686514705426 0.8247814603524252 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395796757300574 NaN 0.5961113095070966 NaN 11.857686514705426 NaN
11.875294028232375 0.823558555834406 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395757229656925 NaN 0.5961121575959705 NaN 11.875294028232375 NaN
11.892901541768868 0.8223392723509749 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639571770201324 NaN 0.5961130044119803 NaN 11.892901541768868 NaN
11.910509055314863 0.8211235938430221 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639567817436955 NaN 0.5961138499607739 NaN 11.910509055314863 NaN
11.928116568870317 0.819911504346259 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639563864672582 NaN 0.5961146942479656 NaN 11.928116568870317 NaN
11.945724082435188 0.8187029879905199 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395599119082075 NaN 0.5961155372791365 NaN 11.945724082435188 NaN
11.963331596009438 0.8174980289990688 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639555959143831 NaN 0.596116379059835 NaN 11.963331596009438 NaN
11.98093910959302 0.8162966116879143 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395520063794525 NaN 0.5961172195955771 NaN 11.98093910959302 NaN
11.9985466231859 0.8150987204651271 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005639548053615073 NaN 0.5961180588918459 NaN 11.9985466231859 NaN
12.016154136788032 0.8139043398301675 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056395441008506905 NaN 0.5961188969540928 NaN 12.016154136788032 NaN
