#state rho e tau(6) p c^2 T s cv gamma alphavol
12.258014665527064 1160.4 12.258014665527064 NaN  NaN NaN NaN 0.0 0.0 0.0 NaN NaN 1160.4 NaN NaN NaN NaN
245.66200000000003 482668.82422169036 245.66200000000003 -270337.4142446029  -188867.20838950365 -188867.20838950365 -188867.20838950365 0.0 0.0 0.0 188867.20838950365 2042.2654753257311 482668.82422169036 0.001542069407000446 0.0011006745438807994 0.43543286595867436 9.552783813627834E-10
309.271 612999.501475557 309.271 -270057.13628099696  -336132.5057886034 -336132.5057886034 -336132.5057886034 0.0 0.0 0.0 336132.5057886034 2972.146778750922 612999.501475557 0.001672973681722776 0.0012064357801457504 0.6372613529263511 8.363967534686026E-10
347.007 782544.7481968505 347.007 -269757.72637928213  -463152.2572201747 -463152.2572201747 -463152.2572201747 0.0 0.0 0.0 463152.2572201747 3147.293029876866 782544.7481968505 0.0018998094683720017 0.00145117275070261 0.49487153573722625 6.575611915972335E-10
490.161 1054703.3091683495 490.161 -269042.7208772839  -1020548.487929615 -1020548.487929615 -1020548.487929615 0.0 0.0 0.0 1020548.487929615 5366.199070383109 1054703.3091683495 0.002056037705471341 0.0014373254554373835 0.5383658344094658 2.941894369857765E-10
549.97 1262085.185024748 549.97 -268581.499174931  -1368119.1204863728 -1368119.1204863728 -1368119.1204863728 0.0 0.0 0.0 1368119.1204863728 5969.473233506269 1262085.185024748 0.0022272252687711622 0.0016622696371317045 0.5370760097432956 2.719331894856174E-10
776.853 1732623.971837241 776.853 -267183.377448959  -2991619.410453142 -2991619.410453142 -2991619.410453142 0.0 0.0 0.0 2991619.410453142 8706.92159423716 1732623.971837241 0.0024448427520996074 0.0016547360577031487 0.41323229327044697 1.0109263184007362E-10
871.643 1934755.3022769527 871.643 -266574.1916078088  -3830816.3160582306 -3830816.3160582306 -3830816.3160582306 0.0 0.0 0.0 3830816.3160582306 11353.66533452591 1934755.3022769527 0.0025211099858834384 0.0018461355872679726 0.5561506128708003 1.0374836920152082E-10
1097.33 2544013.281999535 1097.33 -264756.5555494373  -6614257.244203553 -6614257.244203553 -6614257.244203553 0.0 0.0 0.0 6614257.244203553 14622.236611861408 2544013.281999535 0.002806455939979804 0.0019381280068930294 0.5317326700214637 6.422805077812616E-11
1381.46 3170116.117886574 1381.46 -262661.8448207613  -1.1008823847953806E7 -1.1008823847953806E7 -1.1008823847953806E7 0.0 0.0 0.0 1.1008823847953806E7 19147.837367699893 3170116.117886574 0.002980641993318212 0.0020568606890153437 0.593747242592414 4.616878430613697E-11
1739.1599999999999 3857608.570291285 1739.1599999999999 -260126.89316399273  -1.7924487205830853E7 -1.7924487205830853E7 -1.7924487205830853E7 0.0 0.0 0.0 1.7924487205830853E7 22772.987132461596 3857608.570291285 0.0031065725342708196 0.0021576676046035745 0.5804270961832515 3.1620787423258534E-11
2189.47 4700249.513151245 2189.47 -256898.68401242408  -2.9067608377172105E7 -2.9067608377172105E7 -2.9067608377172105E7 0.0 0.0 0.0 2.9067608377172105E7 31151.970969589504 4700249.513151245 0.003226111239133075 0.0023025904747138483 0.5934339097639874 2.0033855380221233E-11
3092.71 6235044.086036073 3092.71 -250455.6542165046  -5.8974982333152965E7 -5.8974982333152965E7 -5.8974982333152965E7 0.0 0.0 0.0 5.8974982333152965E7 44824.93658832065 6235044.086036073 0.003407189342892526 0.0023683638199307917 0.6181010346990576 1.0559637415265273E-11
3893.49 7390379.525959956 3893.49 -245120.06287487267  -9.308521026379605E7 -9.308521026379605E7 -9.308521026379605E7 0.0 0.0 0.0 9.308521026379605E7 49536.90835111534 7390379.525959956 0.0034587293673768835 0.002527198439417057 0.6121319856201877 8.02077725996844E-12
