# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.410349009241913 0.9840566894340845 0.043238607168537356 0.0016878979424920478  -0.8723169684049532 -0.8723169684049532 -0.8723169684049532 0.0 0.0 0.0 302.55745939723477 5.079559174880131E-4 7.353882849054097 2.315465687336829E-4 0.8723169684049532 2.0253685955549905 8.605716830494143E-6 7.410349009241913 302.55745939723477
7.416912647896801 0.9831858429199083 0.045640477519578594 0.001847881134450243  -0.9209016684264449 -0.9209016684264449 -0.9209016684264449 0.0 0.0 0.0 303.1000964087223 5.081317968339223E-4 7.365912584901573 2.3112518449886502E-4 0.9209016684264449 2.0225189843975744 8.556381753955346E-6 7.416912647896801 303.1000964087223
7.423476286552446 0.9823165363639 0.04804217860971634 0.002007343959808867  -0.9694765925004091 -0.9694765925004091 -0.9694765925004091 0.0 0.0 0.0 303.6424601293508 5.083039100773911E-4 7.377880391786296 2.3070380026399856E-4 0.9694765925004091 2.0196705535863484 8.507390074961193E-6 7.423476286552446 303.6424601293508
7.430039925208846 0.9814487656848995 0.05044369909412755 0.0021662862056753304  -1.0180417389307006 -1.0180417389307006 -1.0180417389307006 0.0 0.0 0.0 304.184548134385 5.084722775632553E-4 7.389786468339175 2.3028241602908355E-4 1.0180417389307006 2.0168232788289835 8.458738243002843E-6 7.430039925208846 304.184548134385
7.436603563865999 0.9805825268161551 0.052845027718380795 0.002324707663086802  -1.0665971060977195 -1.0665971060977195 -1.0665971060977195 0.0 0.0 0.0 304.7263579984058 5.086369195014438E-4 7.401631011870955 2.298610317941203E-4 1.0665971060977195 2.013977135763857 8.410422756168548E-6 7.436603563865999 304.7263579984058
7.443167202523902 0.9797178157052596 0.05524615331754406 0.002482608127002266  -1.1151426924583285 -1.1151426924583285 -1.1151426924583285 0.0 0.0 0.0 305.267887295269 5.087978559680347E-4 7.413414218375822 2.294396475591088E-4 1.1151426924583285 2.011132099958938 8.36244016031431E-6 7.443167202523902 305.267887295269
7.449730841182557 0.9788546283140873 0.0576470648153009 0.0026399873962945136  -1.1636784965457483 -1.1636784965457483 -1.1636784965457483 0.0 0.0 0.0 305.8091335980641 5.089551069062989E-4 7.425136282534932 2.2901826332404906E-4 1.1636784965457483 2.008288146910651 8.314787048251472E-6 7.449730841182557 305.8091335980641
7.456294479841956 0.9779929606187323 0.06004775122307195 0.0027968452737418526  -1.2122045169693632 -1.2122045169693632 -1.2122045169693632 0.0 0.0 0.0 306.3500944790706 5.091086921277355E-4 7.436797397719838 2.2859687908894155E-4 1.2122045169693632 2.0054452520427515 8.267460058950956E-6 7.456294479841956 306.3500944790706
7.462858118502101 0.9771328086094435 0.06244820163915588 0.0029531815660205226  -1.2607207524147341 -1.2607207524147341 -1.2607207524147341 0.0 0.0 0.0 306.8907675097175 5.092586313130983E-4 7.44839775599595 2.2817549485378618E-4 1.2607207524147341 2.00260339070517 8.220455876763335E-6 7.462858118502101 306.8907675097175
7.469421757162991 0.9762741682905645 0.06484840524786888 0.0031089960836965078  -1.3092272016433992 -1.3092272016433992 -1.3092272016433992 0.0 0.0 0.0 307.43115026053925 5.094049440134113E-4 7.459937548125836 2.27754110618583E-4 1.3092272016433992 1.9997625381728594 8.173771230654929E-6 7.469421757162991 307.43115026053925
7.47598539582462 0.9754170356804712 0.06724835131869815 0.003264288641217566  -1.3577238634927673 -1.3577238634927673 -1.3577238634927673 0.0 0.0 0.0 307.9712403011328 5.095476496509781E-4 7.471416963572514 2.2733272638333232E-4 1.3577238634927673 1.9969226696446265 8.127402893459114E-6 7.47598539582462 307.9712403011328
7.482549034486989 0.9745614068115099 0.06964802920546664 0.00341905905690563  -1.406210736876062 -1.406210736876062 -1.406210736876062 0.0 0.0 0.0 308.511035200115 5.096867675203788E-4 7.482836190502677 2.2691134214803416E-4 1.406210736876062 1.9940837602419517 8.081347681142646E-6 7.482549034486989 308.511035200115
7.489112673150097 0.973707277729936 0.07204742834550214 0.003573307152948713  -1.4546878207821752 -1.4546878207821752 -1.4546878207821752 0.0 0.0 0.0 309.0505325250778 5.098223167894609E-4 7.4941954157898545 2.2648995791268856E-4 1.4546878207821752 1.9912457850078045 8.035602452086685E-6 7.489112673150097 309.0505325250778
7.495676311813939 0.9728546444958542 0.07444653825881563 0.0037270327553931186  -1.5031551142755348 -1.5031551142755348 -1.5031551142755348 0.0 0.0 0.0 309.58972984254467 5.099543165003192E-4 7.505494825017471 2.260685736772958E-4 1.5031551142755348 1.9884087189054425 7.990164106382173E-6 7.495676311813939 309.58972984254467
