#solidus
#68 #points
#d T p e a ??
29.16 19637.3 1405.57 23.7437 2.07981 0
36.45 27774.4 2709.14 39.2406 6.71839 0
43.74 35870.7 4527.58 56.2108 12.5776 0
51.03 43803.9 6921.19 75.8369 21.0033 0
58.32 51528.7 9901.18 97.2196 31.5275 0
65.61 59034 13582.8 121.249 43.9721 0
72.9 66323.7 17802.7 145.533 58.6115 0
109.35 99950.5 49894.1 289.645 150.405 0
145.8 129939 100565 457.435 271.775 0
182.25 157341 171238 643.607 412.279 0
218.7 182809 261941 840.291 568.494 0
291.6 229508 505933 1263.75 914.018 0
437.4 311710 1.24462e+06 2185.17 1702.95 0
583.2 384452 2.31975e+06 3162.12 2562.04 0
729 450956 3.73178e+06 4181.9 3467.13 0
1093.5 599490 8.6875e+06 6801.94 5842.57 0
1822.5 852493 2.44821e+07 12165.5 10785.4 0
2916 1.17379e+06 6.19674e+07 20206.4 18289.6 0
4374 1.54367e+06 1.35718e+08 30689.1 28168.5 0
7290 2.17625e+06 3.57478e+08 50811.2 47271.8 0
14580 3.46209e+06 1.29281e+09 97322.9 91673.6 0
36450 6.38555e+06 6.78816e+09 218321 207733 0
72900 1.01409e+07 2.32176e+10 389422 372593 0
145800 1.61012e+07 7.81573e+10 679533 652512 0
