# Initial state: 1.186 g/cc, 293 K, 0.013951365685991268 MJ/kg
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 - 1/K km/s deg
1.186 0.9973094168675223 0.006111681989758681 2.2715083269441316 0.013970272468858817 0.016521935523213148 293.8977155165644 -1.8946683815309853 5.906043386350259 0.0036822707671702566 0.997286057194926 5.242689599139934E-4 33.48911805257413 21.172037137572595
1.25699494801424 0.9409814814876103 0.16058264966067695 2.7208858119162382 0.026849814440837644 0.5169025471952546 311.7259016468193 -1.998373586282182 9.606973802124974 0.0036716657607823214 0.9973978714159131 3.032574215373838E-4 15.640359312916699 32.70251548510327
1.3016552422810186 0.908696043302625 0.2713435543604689 2.971870707200908 0.037991275595785655 0.9539160503756821 317.307783989735 -2.0047618567349184 9.93313169184712 0.003684486996123092 0.9868217237175722 2.8121181561085795E-4 20.760722009241505 28.66800421937681
1.402594477098123 0.8433007456667279 0.5212024735522051 3.326132442492022 0.14011451213592782 2.0506052839880824 350.886251018707 -2.1519855976611755 10.702679407685046 0.0036902230568444756 0.9659479948225174 2.3745522060141877E-4 23.322420926817063 26.849514969431272
1.41027315232069 0.8387091298295635 0.5417215024704967 3.358661912469429 0.16069627373115933 2.1521741796190828 356.910231219778 -2.1866194191549186 17.10891951444162 0.003689360127442339 0.9645119852896634 1.4747990766596211E-4 10.529717450059058 42.04396454515572
1.4977567674259031 0.7897203298488163 0.8089273320276595 3.846911741140118 0.3341540712343187 3.6808514810615556 388.018092735935 -2.257690408137339 17.992815090891618 0.0036970858765335507 0.9372646085521452 1.2858234722700466E-4 13.555140857201154 37.5793725358764
1.5699038900504474 0.7534276307620797 1.0240888896437772 4.1532994666390355 0.5340726202671636 5.030999280138229 429.079337971569 -2.419576074127353 18.698773879740326 0.003706787634908227 0.9170183357021255 1.1579492603644082E-4 15.02909682134219 35.69982113597918
1.58224213016805 0.7475524421026856 1.061102860618419 4.203260548276064 0.5769426287932957 5.275537881379988 438.4275428379104 -2.464880900675402 26.54802556159268 0.003705759974569471 0.913796841496483 8.061609688318057E-5 10.77301458228937 44.171929808007626
1.636715083807708 0.722672492058395 1.258236795797387 4.537006823219013 0.8055525724874466 6.752318803295576 474.485808061056 -2.5730108933798053 27.27567996955069 0.003716699727534353 0.8997685387641013 7.49099674601079E-5 12.189788974666717 41.86019905961426
1.6989321200208398 0.6962073142689023 1.4774236811200334 4.8632628450698645 1.100435607773347 8.498701668161106 524.697327808107 -2.7672994937712976 28.07887767963877 0.0037263733762293123 0.8849701321237267 6.912883048788933E-5 13.470302308513073 39.968075519326305
1.7540967210782803 0.6743122851730682 1.6692877617245374 5.125424404207526 1.4031393966216712 10.119988018522383 580.222382064463 -3.0279120836201114 28.78487626746835 0.003743908620419328 0.8725645946532018 6.470009575652311E-5 14.404631866143614 38.68240989669478
1.7751810380557 0.6663032913535257 1.7425674691194604 5.222009759064106 1.5322506397761653 10.763313201095391 604.9356192870455 -3.1659698987441653 37.907162112090795 0.0037428134508288224 0.8681955429775573 4.828940016302369E-5 12.008231753491788 44.2070525353503
1.87218004364792 0.631781634687331 2.1386201948662853 5.808021533771942 2.2968453224691454 14.691951464498247 733.202595626196 -3.7937331969194523 39.53294235090855 0.0037639653216406505 0.8485518101237893 4.315361940721352E-5 13.94819482356488 41.318113699608766
1.9840016685262545 0.5961733738275982 2.5844150242136954 6.399813327589637 3.351612404676009 19.563493996903127 926.517250713822 -4.984718705833682 41.39598760411425 0.003783215902041117 0.8283523250966364 3.81571510104834E-5 15.724677014989322 38.98996136788624
1.99164695326235 0.593884858191067 2.614863737190508 6.438725051085968 3.432742332398066 19.914332800810826 942.051019837882 -5.097014026326452 53.24078812949821 0.0037829469346006162 0.8271123547856718 2.9507874336054963E-5 13.528400227217418 43.98435858163616
2.0861492132364 0.5669819593440782 3.063133030402533 7.0739155019097995 4.697273132738456 25.629613193819118 1170.80084139248 -6.697415564295992 55.36422422511585 0.003803074010550355 0.8115862401865992 2.67235940068952E-5 15.345782272545813 41.539650005895574
2.1911059544298133 0.5398228077531199 3.552701592682264 7.720290471884746 6.3135711807543915 32.44205352318292 1479.4917300776 -9.175267203480981 57.754459162637296 0.003824211688464274 0.7959533065985819 2.4053629401995236E-5 17.095162267500154 39.459567327592666
2.23450876355898 0.529337359376018 3.7554109711119255 7.9789867454386885 7.0655474599734385 35.442232038472255 1628.3537894872882 -10.516719293012958 74.039109632374 0.0038227466305105636 0.7903420754525553 1.8261959174770775E-5 15.671222048902036 43.215004629503014
2.291611349882867 0.5161472814599819 4.075749584944906 8.423533502597882 8.310628177334232 40.60855096117144 1869.57140957012 -12.682042061494732 75.81532979181503 0.0038485173834965553 0.7821122877833654 1.732465395484886E-5 16.824590843464126 41.84722692568562
2.3945915524809105 0.4939501967170289 4.647493544159779 9.183865923886172 10.78844675214866 50.484703538775605 2362.49867736582 -17.559883276237226 78.96753917968599 0.003640720959547662 0.7627425086418567 1.4685383564117792E-5 18.761216745414426 39.761504185575596
2.500422875935411 0.4730435718647756 5.236616892738769 9.937476066607502 13.72186175725105 61.55200747805826 2985.3901123994 -24.33525742079798 83.52014140788576 0.003226667578322616 0.7345791924355756 1.1349798811795559E-5 20.463359914273056 38.26119388223371
2.50698518943994 0.47180532752533755 5.272947365754576 9.982962041343802 13.915983567756495 62.26273178733979 3032.750511873608 -24.89600170832911 102.54370567674728 0.003227320962846495 0.7341203783135353 9.216131496223716E-6 18.664030906657896 41.92270913129721
