#rho e p
29.2038 -55.49 1509.78
26.4678 -60.1641 1150.63
24.0632 -63.9572 872.459
21.9413 -67.0056 657.521
20.0616 -69.4389 492.433
18.3907 -71.3657 366.661
16.9004 -72.8711 271.798
15.5668 -74.0611 199.718
14.3699 -74.9663 145.828
13.2926 -75.6587 105.425
12.3204 -76.1974 74.6801
11.4407 -76.5798 51.9448
10.6428 -76.8576 35.0748
