#rho e p
12.616 -70.9808 217.905
11.8884 -71.6635 187.525
11.2156 -72.2499 162.008
10.5927 -72.7521 139.997
10.015 -73.1348 121.693
9.47862 -73.4707 106.153
8.97985 -73.7388 92.9503
8.51547 -73.9938 81.7677
8.08257 -74.2099 72.3636
7.67852 -74.35 64.6526
7.30095 -74.4832 57.9374
6.94774 -74.5885 52.3863
6.61696 -74.6774 47.553
6.30684 -74.7113 43.6575
6.0158 -74.745 40.2911
5.7424 -74.7656 37.3043
5.48531 -74.7907 34.6623
5.24335 -74.8262 32.2142
5.01541 -74.8593 29.992
