# cl: 2.72 km/s
# cs: 1.36 km/s

#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg


# polymethyl methacrylate / acrylic / plexiglass
8c2646  310  1.187e+00 8.937e+00  9.195 4.774  8.222 1.005 1.018 2.469 52.106 11.396
8c2703  310  1.187e+00 8.937e+00  9.208 4.646  8.115 1.007 1.007 2.396 50.78 10.793
8c2705  310  1.187e+00 8.916e+00  8.196 3.913  7.430 1.011 1.003 2.271 38.068 7.656
8c2707  310  1.187e+00 8.937e+00  9.332 4.829  8.278 1.010 1.008 2.46 53.491 11.66
8c2685  310  1.186e+00 8.932e+00  7.520 3.470  7.012 1.007 1.009 2.202 30.948 6.02
8c2686  310  1.186e+00 8.932e+00  7.182 3.052  6.639 1.001 1.004 2.062 25.996 4.657
8c2695  310  1.186e+00 8.933e+00  8.537 4.277  7.758 1.011 1.008 2.377 43.304 9.146
8c2696  310  1.186e+00 8.933e+00  7.951 3.883  7.387 1.002 1.008 2.318 36.616 7.539
8c2703  310  1.187e+00 8.937e+00  9.048 4.659  8.115 1.010 1.007 2.447 50.038 10.853
8c2705  310  1.187e+00 8.916e+00  8.194 3.913  7.430 1.011 1.003 2.272 38.059 7.656
8c2706  310  1.187e+00 8.916e+00  7.757 3.581  7.121 1.012 1.005 2.205 32.972 6.412
8c2695  310  1.186e+00 8.933e+00  8.596 4.273  7.758 1.004 1.008 2.358 43.563 9.129
8c2703  310  1.187e+00 8.937e+00  9.344 4.635  8.115 1.005 1.007 2.355 51.408 10.742
8c2704  310  1.187e+00 8.916e+00  7.964 3.855  7.366 1.010 1.012 2.301 36.442 7.431
8c2707  310  1.187e+00 8.937e+00  9.358 4.827  8.278 1.007 1.008 2.452 53.618 11.65
8c2685  310  1.186e+00 8.932e+00  7.549 3.468  7.012 1.005 1.009 2.194 31.049 6.014
8c2695  310  1.186e+00 8.933e+00  8.562 4.275  7.758 1.011 1.008 2.369 43.411 9.138
8c2697  310  1.186e+00 8.933e+00  8.412 4.161  7.652 1.007 1.002 2.347 41.513 8.657
8c2698  310  1.187e+00 8.937e+00  9.192 4.666  8.131 1.007 1.009 2.411 50.91 10.886
8c2706  310  1.187e+00 8.916e+00  7.687 3.586  7.121 1.004 1.005 2.225 32.72 6.43
8c2658  310  1.184e+00 8.924e+00  7.235 3.090  6.674 1.006 1.004 2.067 26.47 4.774
8c2658  310  1.185e+00 8.924e+00  7.206 3.092  6.674 1.003 1.004 2.076 26.403 4.78
8c2659  310  1.185e+00 8.930e+00  5.291 1.774  5.468 1.002 1.001 1.783 11.123 1.574
8c2659  310  1.183e+00 8.930e+00  5.292 1.774  5.468 1.008 1.001 1.78 11.106 1.574
8c2685  310  1.187e+00 8.932e+00  7.526 3.469  7.012 1.005 1.009 2.202 30.99 6.017
8c2695  310  1.186e+00 8.933e+00  8.554 4.276  7.758 1.006 1.008 2.371 43.38 9.142
8c2699  310  1.186e+00 8.937e+00  9.101 4.613  8.079 1.013 1.018 2.405 49.792 10.64
8c2703  310  1.187e+00 8.937e+00  9.092 4.655  8.115 1.003 1.007 2.432 50.238 10.835
8c2704  310  1.187e+00 8.916e+00  7.860 3.863  7.366 1.007 1.012 2.334 36.041 7.461
8c2705  310  1.187e+00 8.916e+00  8.320 3.904  7.430 1.011 1.003 2.236 38.555 7.621
