# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.0133114383933524 0.955283798567205 NaN -18466.378610578628  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021470306785721545 -5.2939485513636 0.0010883809832400663 0.0 0.0 -0.0 1.0133114383933524 298.0
1.015054186044657 0.9536436707600684 NaN -18466.38549629277  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021441555138226737 -5.262233597102413 0.0010883556923331956 0.0 0.0 -0.0 1.015054186044657 298.0
1.0167969336974279 0.9520091651732414 NaN -18466.392382006925  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021412803490365694 -5.230518642814539 0.0010883304014263036 0.0 0.0 -0.0 1.0167969336974279 298.0
1.0185396813516574 0.9503802529474468 NaN -18466.399267721077  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002138405184287089 -5.1988036885001225 0.0010883051105193906 0.0 0.0 -0.0 1.0185396813516574 298.0
1.0202824290073382 0.948756905420585 NaN -18466.40615343524  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021355300195009842 -5.167088734159294 0.0010882798196124564 0.0 0.0 -0.0 1.0202824290073382 298.0
1.0220251766644626 0.9471390941260546 NaN -18466.41303914941  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021326548547270876 -5.135373779792197 0.0010882545287055011 0.0 0.0 -0.0 1.0220251766644626 298.0
1.0237679243230238 0.9455267907910859 NaN -18466.41992486358  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021297796899531914 -5.103658825398951 0.001088229237798525 0.0 0.0 -0.0 1.0237679243230238 298.0
1.025510671983014 0.943919967335097 NaN -18466.426810577763  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002126904525179295 -5.071943870979699 0.0010882039468915283 0.0 0.0 -0.0 1.025510671983014 298.0
1.027253419644426 0.9423185958680613 NaN -18466.433696291948  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021240293603931905 -5.0402289165345735 0.001088178655984511 0.0 0.0 -0.0 1.027253419644426 298.0
1.0289961673072525 0.940722648688895 NaN -18466.44058200614  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021211541956070857 -5.008513962063708 0.001088153365077473 0.0 0.0 -0.0 1.0289961673072525 298.0
1.030738914971487 0.9391320982838584 NaN -18466.447467720336  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021182790308209814 -4.976799007567218 0.0010881280741704149 0.0 0.0 -0.0 1.030738914971487 298.0
1.0324816626371216 0.9375469173249767 NaN -18466.454353434536  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002115403866047085 -4.945084053045249 0.001088102783263336 0.0 0.0 -0.0 1.0324816626371216 298.0
1.0342244103041496 0.9359670786684738 NaN -18466.461239148746  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021125287012365647 -4.913369098497922 0.0010880774923562372 0.0 0.0 -0.0 1.0342244103041496 298.0
1.0359671579725636 0.9343925553532233 NaN -18466.468124862957  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002109653536462668 -4.881654143925373 0.0010880522014491182 0.0 0.0 -0.0 1.0359671579725636 298.0
1.0377099056423567 0.9328233205992138 NaN -18466.47501057718  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021067783716521475 -4.849939189327727 0.0010880269105419792 0.0 0.0 -0.0 1.0377099056423567 298.0
1.0394526533135224 0.9312593478060316 NaN -18466.4818962914  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021039032068660432 -4.8182242347051005 0.0010880016196348203 0.0 0.0 -0.0 1.0394526533135224 298.0
