# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
21.78444356781161 0.9850246321032364 0.06316779819054053 0.022425407503164834  -6.471044213009732 -6.471044213009732 -6.471044213009732 0.0 0.0 0.0 305.14302212019555 2.128393505254603E-4 18.2636650202422 1.243449111048877E-4 6.471044213009732 2.6825108276508143 8.383687764269422E-7 21.78444356781161 305.14302212019555
21.801613570818137 0.9842488695276923 0.06653837737031905 0.023596710346704148  -6.813491589478583 -6.813491589478583 -6.813491589478583 0.0 0.0 0.0 305.7885021219977 2.1287048388887505E-4 18.340792861395762 1.243243176322716E-4 6.813491589478583 2.6816008587353557 8.337646475081532E-7 21.801613570818137 305.7885021219977
21.81878357382606 0.9834743279042716 0.06991339201162079 0.02476806570483409  -7.155946247152576 -7.155946247152576 -7.155946247152576 0.0 0.0 0.0 306.43461846717514 2.129006691914333E-4 18.41791975546607 1.2430372415965382E-4 7.155946247152576 2.6806927201730337 8.292014720643315E-7 21.81878357382606 306.43461846717514
21.835953576835372 0.982701004352805 0.07329282020258444 0.025939473520583074  -7.4984081889239675 -7.4984081889239675 -7.4984081889239675 0.0 0.0 0.0 307.0813710136525 2.1292991058203292E-4 18.49504569988218 1.2428313068703437E-4 7.4984081889239675 2.6797864078439066 8.246787300962112E-7 21.835953576835372 307.0813710136525
21.853123579846077 0.9819288960021745 0.07667664017622354 0.02711093373705009  -7.840877417687463 -7.840877417687463 -7.840877417687463 0.0 0.0 0.0 307.72875961982265 2.1295821218713558E-4 18.572170692074433 1.2426253721441324E-4 7.840877417687463 2.6788819176411107 8.201959102791226E-7 21.853123579846077 307.72875961982265
21.87029358285817 0.9811579999902785 0.08006483030899843 0.0282824462974035  -8.183353936339866 -8.183353936339866 -8.183353936339866 0.0 0.0 0.0 308.3767841445468 2.1298557811091096E-4 18.64929472947435 1.2424194374179048E-4 8.183353936339866 2.6779792454708105 8.15752509783295E-7 21.87029358285817 308.3767841445468
21.887463585871647 0.9803883134639968 0.08345736911941207 0.029454011144881262  -8.525837747780166 -8.525837747780166 -8.525837747780166 0.0 0.0 0.0 309.0254444471544 2.1301201243537939E-4 18.726417809514658 1.24221350269166E-4 8.525837747780166 2.677078387252148 8.113480340986004E-7 21.887463585871647 309.0254444471544
21.9046335888865 0.9796198335791543 0.08685423526662579 0.030625628222791374  -8.868328854909674 -8.868328854909674 -8.868328854909674 0.0 0.0 0.0 309.6747403874439 2.130375192205531E-4 18.80353992962932 1.2420075679653992E-4 8.868328854909674 2.67617933891719 8.069819968636163E-7 21.9046335888865 309.6747403874439
21.921803591902727 0.978852557500487 0.09025540754909127 0.031797297474511356  -9.210827260631891 -9.210827260631891 -9.210827260631891 0.0 0.0 0.0 310.3246718256822 2.130621025045772E-4 18.88066108725349 1.241801633239122E-4 9.210827260631891 2.6752820964108808 8.026539196988856E-7 21.921803591902727 310.3246718256822
21.938973594920334 0.978086482401606 0.09366086490320663 0.032969018843489684  -9.553332967852938 -9.553332967852938 -9.553332967852938 0.0 0.0 0.0 310.97523862260607 2.1308576630386903E-4 18.95778127982362 1.2415956985128277E-4 9.553332967852938 2.6743866556909905 7.983633320442459E-7 21.938973594920334 310.97523862260607
21.956143597939313 0.9773216054649643 0.09707058640197895 0.03414079227324309  -9.895845979480793 -9.895845979480793 -9.895845979480793 0.0 0.0 0.0 311.6264406394207 2.1310851461325662E-4 19.034900504777266 1.2413897637865174E-4 9.895845979480793 2.67349301272806 7.941097710001306E-7 21.956143597939313 311.6264406394207
21.973313600959653 0.9765579238818214 0.10048455125371662 0.03531261770735805  -10.238366298425705 -10.238366298425705 -10.238366298425705 0.0 0.0 0.0 312.27827773780075 2.1313035140611654E-4 19.112018759553187 1.2411838290601906E-4 10.238366298425705 2.6726011635053624 7.898927811727082E-7 21.973313600959653 312.27827773780075
21.99048360398136 0.9757954348522082 0.10390273880073869 0.03648449508949185  -10.580893927600565 -10.580893927600565 -10.580893927600565 0.0 0.0 0.0 312.9307497798908 2.1315128063450993E-4 19.18913604159144 1.2409778943338475E-4 10.580893927600565 2.6717111040188413 7.857119145227547E-7 21.99048360398136 312.9307497798908
22.007653607004425 0.9750341355848946 0.10732512851809094 0.03765642436337021  -10.923428869920201 -10.923428869920201 -10.923428869920201 0.0 0.0 0.0 313.5838566283046 2.131713062293182E-4 19.26625234833319 1.2407719596074882E-4 10.923428869920201 2.670822830277071 7.815667302181796E-7 22.007653607004425 313.5838566283046
22.024823610028847 0.9742740232973536 0.11075170001229163 0.038828405472789214  -11.265971128301956 -11.265971128301956 -11.265971128301956 0.0 0.0 0.0 314.2375981461263 2.1319043210037765E-4 19.343367677220836 1.2405660248811123E-4 11.265971128301956 2.6699363383012 7.774567944900647E-7 22.024823610028847 314.2375981461263
22.041993613054625 0.9735150952157282 0.11418243302008638 0.04000043836161449  -11.60852070566547 -11.60852070566547 -11.60852070566547 0.0 0.0 0.0 314.8919741969097 2.1320866213661276E-4 19.420482025697993 1.2403600901547202E-4 11.60852070566547 2.669051624124908 7.733816804921504E-7 22.041993613054625 314.8919741969097
22.059163616081758 0.9727573485747981 0.11761730740722062 0.04117252297378098  -11.951077604932625 -11.951077604932625 -11.951077604932625 0.0 0.0 0.0 315.54698464467896 2.1322600020616888E-4 19.497595391209437 1.240154155428312E-4 11.951077604932625 2.668168683794352 7.693409681636562E-7 22.059163616081758 315.54698464467896
22.076333619110237 0.9720007806179456 0.1210563031672292 0.042344659253292914  -12.293641829027543 -12.293641829027543 -12.293641829027543 0.0 0.0 0.0 316.2026293539283 2.1324245015654395E-4 19.574707771201123 1.2399482207018877E-4 12.293641829027543 2.667287513368123 7.653342440953495E-7 22.076333619110237 316.2026293539283
22.093503622140055 0.9712453885971223 0.12449940042024239 0.04351684714422396  -12.636213380876677 -12.636213380876677 -12.636213380876677 0.0 0.0 0.0 316.85890818962207 2.132580158147184E-4 19.65181916312018 1.2397422859754473E-4 12.636213380876677 2.666408108917195 7.613611013987713E-7 22.093503622140055 316.85890818962207
22.11067362517122 0.970491169772815 0.12794657941180967 0.04468908659071824  -12.978792263409078 -12.978792263409078 -12.978792263409078 0.0 0.0 0.0 317.5158210171962 2.132727009872859E-4 19.728929564414994 1.2395363512489907E-4 12.978792263409078 2.665530466524876 7.574211395785297E-7 22.11067362517122 317.5158210171962
22.127843628203724 0.9697381214140144 0.13139782051173038 0.045861377536988344  -13.321378479555854 -13.321378479555854 -13.321378479555854 0.0 0.0 0.0 318.1733677025565 2.132865094605812E-4 19.806038972535067 1.239330416522518E-4 13.321378479555854 2.6646545822867633 7.535139644075912E-7 22.127843628203724 318.1733677025565
22.14501363123756 0.9689862407981804 0.13485310421290791 0.04703371992731623  -13.663972032250456 -13.663972032250456 -13.663972032250456 0.0 0.0 0.0 318.8315481120797 2.132994450008083E-4 19.883147384931075 1.2391244817960294E-4 13.663972032250456 2.6637804523106934 7.496391878054686E-7 22.14501363123756 318.8315481120797
22.162183634272726 0.9682355252112105 0.13831241113021667 0.048206113706053426  -14.006572924428738 -14.006572924428738 -14.006572924428738 0.0 0.0 0.0 319.4903621126135 2.1331151135416704E-4 19.960254799054887 1.2389185470695248E-4 14.006572924428738 2.6629080727166965 7.457964277192385E-7 22.162183634272726 319.4903621126135
22.179353637309223 0.9674859719474059 0.14177572199938349 0.0493785588176213  -14.349181159029051 -14.349181159029051 -14.349181159029051 0.0 0.0 0.0 320.14980957147714 2.133227122469794E-4 20.037361212359553 1.2387126123430042E-4 14.349181159029051 2.6620374396369475 7.419853080073112E-7 22.179353637309223 320.14980957147714
22.19652364034705 0.9667375783094402 0.14524301767588002 0.05055105520651001  -14.691796738991965 -14.691796738991965 -14.691796738991965 0.0 0.0 0.0 320.8098903564606 2.1333305138581413E-4 20.1144666222993 1.238506677616468E-4 14.691796738991965 2.66116854921572 7.382054583258792E-7 22.19652364034705 320.8098903564606
22.213693643386197 0.9659903416083266 0.1487142791338325 0.05172360281727874  -15.034419667260332 -15.034419667260332 -15.034419667260332 0.0 0.0 0.0 321.47060433582504 2.1334253245761117E-4 20.19157102632947 1.2383007428899156E-4 15.034419667260332 2.660301397609341 7.344565140179708E-7 22.213693643386197 321.47060433582504
22.230863646426663 0.9652442591633856 0.15218948746494637 0.052896201594556116  -15.37704994677945 -15.37704994677945 -15.37704994677945 0.0 0.0 0.0 322.1319513783035 2.133511591298046E-4 20.2686744219066 1.2380948081633472E-4 15.37704994677945 2.6594359809861436 7.307381160050373E-7 22.230863646426663 322.1319513783035
22.248033649468443 0.9644993283022131 0.15566862387744218 0.05406885148303996  -15.719687580496988 -15.719687580496988 -15.719687580496988 0.0 0.0 0.0 322.79393135310016 2.133589350504452E-4 20.345776806488377 1.2378888734367632E-4 15.719687580496988 2.658572295526418 7.270499106810108E-7 22.248033649468443 322.79393135310016
22.26520365251154 0.9637555463606475 0.15915166969500716 0.05524155242749775  -16.062332571363132 -16.062332571363132 -16.062332571363132 0.0 0.0 0.0 323.4565441298915 2.1336586384832162E-4 20.42287817753369 1.2376829387101637E-4 16.062332571363132 2.65771033742237 7.23391549808765E-7 22.26520365251154 323.4565441298915
22.282373655555954 0.9630129106827401 0.16263860635575556 0.05641430437276554  -16.404984922330307 -16.404984922330307 -16.404984922330307 0.0 0.0 0.0 324.119789578825 2.133719491330812E-4 20.499978532502535 1.2374770039835483E-4 16.404984922330307 2.656850102878072 7.197626904189198E-7 22.282373655555954 324.119789578825
22.299543658601674 0.9622714186207214 0.1661294154112057 0.05758710726374825  -16.74764463635327 -16.74764463635327 -16.74764463635327 0.0 0.0 0.0 324.7836675705204 2.1337719449534932E-4 20.577077868856055 1.237271069256917E-4 16.74764463635327 2.655991588109421 7.161629947109192E-7 22.299543658601674 324.7836675705204
22.3167136616487 0.9615310675349711 0.16962407852527042 0.05875996104542013  -17.090311716389238 -17.090311716389238 -17.090311716389238 0.0 0.0 0.0 325.44817797606925 2.1338160350684875E-4 20.65417618405655 1.2370651345302704E-4 17.090311716389238 2.655134789344088 7.125921299563311E-7 22.3167136616487 325.44817797606925
22.33388366469702 0.9607918547939857 0.17312257747325707 0.05993286566282409  -17.432986165397743 -17.432986165397743 -17.432986165397743 0.0 0.0 0.0 326.113320667035 2.13385179720517E-4 20.73127347556745 1.236859199803608E-4 17.432986165397743 2.6542797028214773 7.090497684043075E-7 22.33388366469702 326.113320667035
22.351053667746644 0.9600537777743473 0.1766248941408851 0.06110582106107307  -17.775667986341034 -17.775667986341034 -17.775667986341034 0.0 0.0 0.0 326.77909551545383 2.133879266706239E-4 20.80836974085339 1.2366532650769297E-4 17.775667986341034 2.6534263247926804 7.055355871891471E-7 22.351053667746644 326.77909551545383
22.368223670797562 0.959316833860694 0.18013101052330568 0.06227882718534769  -18.1183571821834 -18.1183571821834 -18.1183571821834 0.0 0.0 0.0 327.44550239383364 2.1338984787288768E-4 20.885464977380074 1.2364473303502362E-4 18.1183571821834 2.6525746515204274 7.020492682399179E-7 22.368223670797562 327.44550239383364
22.385393673849773 0.9585810204456872 0.18364090584064222 0.0634521426007978  -18.461069521091808 -18.461069521091808 -18.461069521091808 0.0 0.0 0.0 328.1125411751548 2.1340486900124918E-4 20.96249036018722 1.2448322520005643E-4 18.461069521091808 2.652217654795123 7.035782106662738E-7 22.385393673849773 328.1125411751548
22.402563676903277 0.9578463349299821 0.1871545557610129 0.06462584303318752  -18.80380963617314 -18.80380963617314 -18.80380963617314 0.0 0.0 0.0 328.7803368503049 2.134359912717245E-4 21.039426726073838 1.2446661755156568E-4 18.80380963617314 2.651376083800525 7.001524283548759E-7 22.402563676903277 328.7803368503049
22.419733679958057 0.9571127747221969 0.19067193872572116 0.06579960015408505  -19.146557557195887 -19.146557557195887 -19.146557557195887 0.0 0.0 0.0 329.4487662695467 2.1346621028055E-4 21.11635602426022 1.244500099030737E-4 19.146557557195887 2.650536119504475 6.967536256721621E-7 22.419733679958057 329.4487662695467
22.436903683014126 0.9563803372388813 0.19419303672466542 0.06697341391454491  -19.489313287567743 -19.489313287567743 -19.489313287567743 0.0 0.0 0.0 330.11782929327615 2.1349552982295405E-4 21.193278243853868 1.244334022545805E-4 19.489313287567743 2.6496977583454555 6.933815005956767E-7 22.436903683014126 330.11782929327615
22.45407368607148 0.9556490199044871 0.19771783185511618 0.06814728426567712  -19.83207683069755 -19.83207683069755 -19.83207683069755 0.0 0.0 0.0 330.7875257822702 2.135239536744407E-4 21.270193373965668 1.2441679460608603E-4 19.83207683069755 2.648860996772917 6.900357555375017E-7 22.45407368607148 330.7875257822702
22.471243689130112 0.9549188201513389 0.2012463063207853 0.06932121115864802  -20.174848189995554 -20.174848189995554 -20.174848189995554 0.0 0.0 0.0 331.45785559768746 2.135514855909115E-4 21.347101403709928 1.2440018695759032E-4 20.174848189995554 2.648025831247228 6.867160972634201E-7 22.471243689130112 331.45785559768746
22.488413692190022 0.9541897354196017 0.20477844243090867 0.0704951945446816  -20.51762736887381 -20.51762736887381 -20.51762736887381 0.0 0.0 0.0 332.12881860106876 2.1357812930878598E-4 21.42400232220448 1.243835793090934E-4 20.51762736887381 2.647192258239631 6.834222368138408E-7 22.488413692190022 332.12881860106876
22.505583695251197 0.9534617631572536 0.20831422259932905 0.07166923437505736  -20.860414370745545 -20.860414370745545 -20.860414370745545 0.0 0.0 0.0 332.8004146543365 2.136038885451216E-4 21.500896118570488 1.2436697166059524E-4 20.860414370745545 2.6463602742322108 6.801538894264503E-7 22.505583695251197 332.8004146543365
22.522753698313643 0.9527349008200537 0.2118536293436044 0.07284333060111296  -21.203209199025963 -21.203209199025963 -21.203209199025963 0.0 0.0 0.0 333.4726436197959 2.1362876699773257E-4 21.577782781932655 1.2435036401209584E-4 21.203209199025963 2.6455298757178434 6.769107744605201E-7 22.522753698313643 333.4726436197959
22.539923701377358 0.9520091458715138 0.2153966452841124 0.07401748317424194  -21.546011857131603 -21.546011857131603 -21.546011857131603 0.0 0.0 0.0 334.1455053601338 2.1365276834530813E-4 21.654662301419048 1.2433375636359525E-4 21.546011857131603 2.64470105920016 6.736926153228609E-7 22.539923701377358 334.1455053601338
22.557093704442334 0.9512844957828687 0.21894325314317348 0.0751916920458943  -21.888822348480474 -21.888822348480474 -21.888822348480474 0.0 0.0 0.0 334.81899973841956 2.1367589624753008E-4 21.73153466616111 1.243171487150934E-4 21.888822348480474 2.6438738211935062 6.704991393953574E-7 22.557093704442334 334.81899973841956
