# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
0.9798961274084185 0.9831858429199086 0.04384569294504722 0.2680154094241832  -0.10084271746313062 -0.10084271746313062 -0.10084271746313062 0.0 0.0 0.0 299.1866779491305 NaN 6.980307609726118 0.0010666450790151481 0.10084271746313062 1.2248669824206428 1.910091883099397E-4 0.9798961274084185 299.1866779491305
0.9807632920098781 0.9823165363639004 0.04618530908583531 0.26784989414926164  -0.10614567991874105 -0.10614567991874105 -0.10614567991874105 0.0 0.0 0.0 299.5109133451472 NaN 7.011086351248675 0.0010666604876016712 0.10614567991874105 1.2241031948952816 1.8988677580481148E-4 0.9807632920098781 299.5109133451472
0.9816304566114377 0.9814487656848998 0.048527993762797435 0.26768424181874834  -0.11144869433052126 -0.11144869433052126 -0.11144869433052126 0.0 0.0 0.0 299.8350108852775 NaN 7.041861018711554 0.0010666758961881961 0.11144869433052126 1.2233407476035665 1.88774987016991E-4 0.9816304566114377 299.8350108852775
0.9824976212130966 0.9805825268161553 0.05087372965345025 0.2675184524393693  -0.1167517605684479 -0.1167517605684479 -0.1167517605684479 0.0 0.0 0.0 300.1589705818007 NaN 7.072631614573262 0.0010666913047747226 0.1167517605684479 1.2225796369971769 1.8767367889265855E-4 0.9824976212130966 300.1589705818007
0.9833647858148546 0.9797178157052598 0.0532224995592698 0.2673525260183507  -0.12205487850311728 -0.12205487850311728 -0.12205487850311728 0.0 0.0 0.0 300.4827924474645 NaN 7.103398141292893 0.0010667067133612509 0.12205487850311728 1.2218198595403074 1.865827109047178E-4 0.9833647858148546 300.4827924474645
0.984231950416712 0.9788546283140875 0.055574286404399126 0.26718646256341616  -0.12735804800574224 -0.12735804800574224 -0.12735804800574224 0.0 0.0 0.0 300.8064764954821 NaN 7.134160601330101 0.0010667221219477808 0.12735804800574224 1.2210614117096137 1.8550194499741563E-4 0.984231950416712 300.8064764954821
0.9850991150186676 0.9779929606187325 0.057929073234371166 0.2670202620827835  -0.13266126894814143 -0.13266126894814143 -0.13266126894814143 0.0 0.0 0.0 301.13002273952907 NaN 7.164918997145037 0.0010667375305343128 0.13266126894814143 1.220304289994158 1.8443124553241228E-4 0.9850991150186676 301.13002273952907
0.9859662796207218 0.9771328086094437 0.060286843214859 0.2668539245851617  -0.13796454120274837 -0.13796454120274837 -0.13796454120274837 0.0 0.0 0.0 301.45343119374076 NaN 7.195673331198399 0.0010667529391208462 0.13796454120274837 1.219548490895354 1.8337047923625298E-4 0.9859662796207218 301.45343119374076
0.9868334442228744 0.9762741682905647 0.06264773594303312 0.26703212238340557  -0.14456614756767194 -0.14456614756767194 -0.14456614756767194 0.0 0.0 0.0 301.7766977820493 NaN 7.228335641068916 0.0010667601495783381 0.14456614756767194 1.218651547927908 1.8224858208734835E-4 0.9868334442228744 301.7766977820493
0.9877006088251247 0.9754170356804714 0.06501201208667809 0.2674798938329237  -0.15218378809818828 -0.15218378809818828 -0.15218378809818828 0.0 0.0 0.0 302.09975926304327 NaN 7.262491656256449 0.001066760943088206 0.15218378809818828 1.21764476522848 1.8108260969674605E-4 0.9877006088251247 302.09975926304327
0.9885677734274727 0.9745614068115102 0.06737977454919687 0.2679274470187083  -0.15980120910708406 -0.15980120910708406 -0.15980120910708406 0.0 0.0 0.0 302.42261565939395 NaN 7.296645115677256 0.0010667617365980738 0.15980120910708406 1.2166397487202867 1.799284165681899E-4 0.9885677734274727 302.42261565939395
0.9894349380299183 0.9737072777299364 0.06975100378324357 0.268374781982148  -0.16741841060320345 -0.16741841060320345 -0.16741841060320345 0.0 0.0 0.0 302.74526701035757 NaN 7.330796021483105 0.0010667625301079419 0.16741841060320345 1.2156364937595308 1.7878583403001713E-4 0.9894349380299183 302.74526701035757
0.990302102632461 0.9728546444958545 0.07212568038709678 0.26882189876542767  -0.17503539259635587 -0.17503539259635587 -0.17503539259635587 0.0 0.0 0.0 303.0677133559364 NaN 7.364944375826568 0.00106676332361781 0.17503539259635587 1.2146349957186815 1.7765469657670736E-4 0.990302102632461 303.0677133559364
0.9911692672351007 0.9720035031831564 0.07450378510305322 0.26926879741152343  -0.18265215509731766 -0.18265215509731766 -0.18265215509731766 0.0 0.0 0.0 303.38995473687436 NaN 7.3990901808610205 0.0010667641171276782 0.18265215509731766 1.2136352499864018 1.7653484179514816E-4 0.9911692672351007 303.38995473687436
0.992036431837837 0.9711538498794622 0.07688529881584114 0.2697154779641973  -0.19026869811781794 -0.19026869811781794 -0.19026869811781794 0.0 0.0 0.0 303.711991194652 NaN 7.433233438740602 0.0010667649106375465 0.19026869811781794 1.2126372519674784 1.7542611029295178E-4 0.992036431837837 303.711991194652
0.9929035964406696 0.970305680686059 0.07927020255106264 0.27016194046799236  -0.19788502167053823 -0.19788502167053823 -0.19788502167053823 0.0 0.0 0.0 304.0338227714818 NaN 7.467374151620195 0.0010667657041474148 0.19788502167053823 1.2116409970827513 1.7432834562875455E-4 0.9929035964406696 304.0338227714818
0.9937707610435985 0.9694589917178426 0.08165847747365793 0.27060818496822747  -0.20550112576910587 -0.20550112576910587 -0.20550112576910587 0.0 0.0 0.0 304.3554495103037 NaN 7.501512321655425 0.0010667664976572832 0.20550112576910587 1.2106464807690425 1.7324139424443552E-4 0.9937707610435985 304.3554495103037
0.9946379256466231 0.9686137791032571 0.08405010488639163 0.2710542115109926  -0.21311701042808323 -0.21311701042808323 -0.21311701042808323 0.0 0.0 0.0 304.67687145477987 NaN 7.5356479510026 0.0010667672911671517 0.21311701042808323 1.2096536984790889 1.7216510539919537E-4 0.9946379256466231 304.67687145477987
0.9955050902497433 0.9677700389842366 0.08644506622836616 0.27150002014314384  -0.22073267566297 -0.22073267566297 -0.22073267566297 0.0 0.0 0.0 304.99808864929076 NaN 7.569781041818738 0.0010667680846770204 0.22073267566297 1.208662645681471 1.7109933110543205E-4 0.9955050902497433 304.99808864929076
0.9963722548529592 0.9669277675161457 0.08884334307355458 0.27194561091229813  -0.2283481214901953 -0.2283481214901953 -0.2283481214901953 0.0 0.0 0.0 305.31910113893 NaN 7.603911596261521 0.001066768878186889 0.2283481214901953 1.207673317860544 1.7004392606636025E-4 0.9963722548529592 305.31910113893
0.9972394194562701 0.9660869608677226 0.09124491712935329 0.27239098386682864  -0.23596334792710333 -0.23596334792710333 -0.23596334792710333 0.0 0.0 0.0 305.6399089694998 NaN 7.6380396164892606 0.0010667696716967579 0.23596334792710333 1.2066857105163702 1.6899874761531897E-4 0.9972394194562701 305.6399089694998
0.9981065840596758 0.9652476152210194 0.09364977023516226 0.27283613905585946  -0.2435783549919576 -0.2435783549919576 -0.2435783549919576 0.0 0.0 0.0 305.9605121875064 NaN 7.672165104660895 0.0010667704652066268 0.2435783549919576 1.2056998191646502 1.6796365565671079E-4 0.9981065840596758 305.9605121875064
0.9989737486631763 0.9644097267713448 0.09605788436098409 0.2732810765292618  -0.2511931427039369 -0.2511931427039369 -0.2511931427039369 0.0 0.0 0.0 306.28091084015597 NaN 7.706288062935993 0.0010667712587164957 0.2511931427039369 1.2047156393366547 1.6693851260852553E-4 0.9989737486631763 306.28091084015597
0.9998409132667713 0.9635732917272074 0.09846924160603944 0.27372579633764776  -0.2588077110831186 -0.2588077110831186 -0.2588077110831186 0.0 0.0 0.0 306.60110497534924 NaN 7.740408493474683 0.0010667720522263648 0.2588077110831186 1.2037331665791577 1.659231833463992E-4 0.9998409132667713 306.60110497534924
1.0007080778704602 0.9627383063102574 0.10088382419740945 0.2741702985323665  -0.26642206015048125 -0.26642206015048125 -0.26642206015048125 0.0 0.0 0.0 306.9210946416776 NaN 7.774526398437663 0.001066772845736234 0.26642206015048125 1.2027523964543694 1.6491753514915719E-4 1.0007080778704602 306.9210946416776
1.0015752424742435 0.96190476675523 0.10330161448869626 0.2746145831654992  -0.27403618992790224 -0.27403618992790224 -0.27403618992790224 0.0 0.0 0.0 307.2408798884186 NaN 7.8086417799862025 0.001066773639246103 0.27403618992790224 1.2017733245398678 1.6392143764579792E-4 1.0015752424742435 307.2408798884186
1.00244240707812 0.96107266930989 0.10572259495869736 0.2750586502898537  -0.28165010043813693 -0.28165010043813693 -0.28165010043813693 0.0 0.0 0.0 307.5604607655309 NaN 7.842754640282046 0.0010667744327559723 0.28165010043813693 1.200795946428535 1.6293476276387604E-4 1.00244240707812 307.5604607655309
