Ariadne V0.5
WXMaths V0.8
WXCloud V0.5
# Isentrope
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
3.641851709823769 0.9840566894340848 0.1152745351942942 0.008710900999992166  -2.9049250510401605 -2.9049250510401605 -2.9049250510401605 0.0 0.0 0.0 262.2758621065713 3.5767213051612624E-4 52.268787578318076 7.270653107354327E-4 2.9049250510401605 0.9933319504914961 3.794050827725273E-6 3.641851709823769 0.008710900999992166
3.6450774416520755 0.9831858429199084 0.12167668850101243 0.009436546974665613  -3.0677052424466034 -3.0677052424466034 -3.0677052424466034 0.0 0.0 0.0 261.03261980759555 3.538191082801524E-4 52.312681436080695 7.262616147415655E-4 3.0677052424466034 0.9932669732804373 3.7830784282900473E-6 3.6450774416520755 0.009436546974665613
3.6483031734807536 0.9823165363639002 0.1280758610684876 0.010200410917217129  -3.230618546548175 -3.230618546548175 -3.230618546548175 0.0 0.0 0.0 259.8393040295716 3.5010529816559657E-4 52.356518680165706 7.254579187476058E-4 3.230618546548175 0.9932039131225254 3.7721500951068206E-6 3.6483031734807536 0.010200410917217129
3.651528905309803 0.9814487656848997 0.13447205359643752 0.01100238887337876  -3.393664910218358 -3.393664910218358 -3.393664910218358 0.0 0.0 0.0 258.695937435676 3.4653032119624495E-4 52.40029966055295 7.246542227535534E-4 3.393664910218358 0.9931427709280983 3.7612655791599533E-6 3.651528905309803 0.01100238887337876
3.6547546371392223 0.9805825268161552 0.1408652668097803 0.011842377247940301  -3.556844281830013 -3.556844281830013 -3.556844281830013 0.0 0.0 0.0 257.60254328577673 3.430937997035304E-4 52.444024726844106 7.238505267594089E-4 3.556844281830013 0.9930835476308623 3.7504246332137983E-6 3.6547546371392223 0.011842377247940301
3.6579803689690102 0.9797178157052598 0.14725550145846933 0.01272027280354992  -3.7201566112575355 -3.7201566112575355 -3.7201566112575355 0.0 0.0 0.0 256.5591454380902 3.397953573221551E-4 52.487694228268886 7.230468307651727E-4 3.7201566112575355 0.993026244187938 3.7396270117970385E-6 3.6579803689690102 0.01272027280354992
3.6612061007991676 0.9788546283140876 0.15364271160417 0.013635972919213464  -3.8836048625689443 -3.8836048625689443 -3.8836048625689443 0.0 0.0 0.0 255.41627538319906 3.3635478739876904E-4 52.52977209439082 6.027967481222593E-4 3.8836048625689443 0.9914611603439492 3.107541323991928E-6 3.6612061007991676 0.013635972919213464
3.664431832629691 0.9779929606187325 0.1600268985241432 0.014589375740709686  -4.047186743839534 -4.047186743839534 -4.047186743839534 0.0 0.0 0.0 254.2858133236522 3.329821890105762E-4 52.57334389899132 6.020643417695273E-4 4.047186743839534 0.9914050316557194 3.0982879417628004E-6 3.664431832629691 0.014589375740709686
3.6676575644605807 0.9771328086094437 0.1664081100210374 0.015580379049376966  -4.210901254701577 -4.210901254701577 -4.210901254701577 0.0 0.0 0.0 253.21512618986662 3.2976586507713084E-4 52.616856946816036 6.01331935416712E-4 4.210901254701577 0.9913509892318164 3.08907199812397E-6 3.6676575644605807 0.015580379049376966
3.6708832962918363 0.9762741682905648 0.17278634668512616 0.016608880979243675  -4.37474834873885 -4.37474834873885 -4.37474834873885 0.0 0.0 0.0 252.20426305386616 3.267053916484014E-4 52.660311600704915 6.005995290638135E-4 4.37474834873885 0.9912990348371773 3.0798932808092474E-6 3.6708832962918363 0.016608880979243675
3.674109028123455 0.9754170356804717 0.17916160913281362 0.017674780015987074  -4.538727981171078 -4.538727981171078 -4.538727981171078 0.0 0.0 0.0 251.25327381354546 3.2380034623514934E-4 52.70370822320549 5.998671227108327E-4 4.538727981171078 0.991249170265991 3.0707515790711547E-6 3.674109028123455 0.017674780015987074
3.677334759955438 0.9745614068115104 0.18553389800648026 0.018777974995799897  -4.702840108857569 -4.702840108857569 -4.702840108857569 0.0 0.0 0.0 250.3622091958214 3.2105030780419166E-4 52.74704717658021 5.991347163577693E-4 4.702840108857569 0.9912013973417837 3.0616466836674964E-6 3.677334759955438 0.018777974995799897
3.6805604917877837 0.9737072777299365 0.19190321397431168 0.019918365104258953  -4.867084690300394 -4.867084690300394 -4.867084690300394 0.0 0.0 0.0 249.53112075981937 3.184548567736954E-4 52.79032882281367 5.984023100046234E-4 4.867084690300394 0.9911557179175094 3.052578386848112E-6 3.6805604917877837 0.019918365104258953
3.68378622362049 0.9728546444958548 0.19826955773013408 0.02109584987520033  -5.031461685647791 -5.031461685647791 -5.031461685647791 0.0 0.0 0.0 248.76006090009136 3.160135750084916E-4 52.833553523620004 5.976699036513957E-4 5.031461685647791 0.9911121338756407 3.0435464823417405E-6 3.68378622362049 0.02109584987520033
3.6870119554535576 0.9720035031831568 0.20463292999326457 0.022310329189601498  -5.195971056697935 -5.195971056697935 -5.195971056697935 0.0 0.0 0.0 248.04908284986374 3.137260458154027E-4 52.87672164045023 5.969374972980859E-4 5.195971056697935 0.9910706471282599 3.034550765343017E-6 3.6870119554535576 0.022310329189601498
3.690237687286985 0.9711538498794624 0.21099333150834268 0.0235617032744659  -5.360612766902258 -5.360612766902258 -5.360612766902258 0.0 0.0 0.0 247.39824068432213 3.11591853938605E-4 52.919833534499496 5.962050909446945E-4 5.360612766902258 0.9910312596171513 3.0255910324996295E-6 3.690237687286985 0.0235617032744659
