# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.862108070900268 0.9937023534467719 0.011553822795013253 -7.968823811562452E-4  -0.2008334897878172 -0.2008334897878172 -0.2008334897878172 0.0 0.0 0.0 294.9363085770563 NaN 3.408395999103019 1.2259894829135654E-4 0.2008334897878172 1.0393345937219733 3.7907253824014576E-6 9.862108070900268 294.9363085770563
9.865376916737322 0.9933730948863794 0.012166160031399599 -7.900550012022543E-4  -0.21203872698708512 -0.21203872698708512 -0.21203872698708512 0.0 0.0 0.0 295.0378955211043 NaN 3.419803662817561 1.225989533370952E-4 0.21203872698708512 1.0389850490230907 3.775558509797332E-6 9.865376916737322 295.0378955211043
9.868645762574396 0.9930440544502341 0.012778858027238668 -7.826488932648724E-4  -0.22327215790117833 -0.22327215790117833 -0.22327215790117833 0.0 0.0 0.0 295.1394499201569 NaN 3.42097115277259 1.2259894598960278E-4 0.22327215790117833 1.0386409625353168 3.7717700779035112E-6 9.868645762574396 295.1394499201569
9.871914608411492 0.9927152319216562 0.013391916311155603 -7.750260140452133E-4  -0.2345162528932488 -0.2345162528932488 -0.2345162528932488 0.0 0.0 0.0 295.2409719918414 NaN 3.4323946228108144 1.225989433340659E-4 0.2345162528932488 1.038297064182969 3.7567279852562145E-6 9.871914608411492 295.2409719918414
9.875183454248607 0.9923866270842533 0.014005334567091354 -7.669364987458792E-4  -0.2457831291832702 -0.2457831291832702 -0.2457831291832702 0.0 0.0 0.0 295.3424617356278 NaN 3.4335625248589845 1.225989506815583E-4 0.2457831291832702 1.0379533088143447 3.752964342463551E-6 9.875183454248607 295.3424617356278
9.878452300085742 0.9920582397219188 0.014619112407539754 -7.58517575764626E-4  -0.2570661490380785 -0.2570661490380785 -0.2570661490380785 0.0 0.0 0.0 295.4439191587612 NaN 3.4450036332675276 1.2259895094689338E-4 0.2570661490380785 1.0376098408870775 3.738025370479419E-6 9.878452300085742 295.4439191587612
9.881721145922896 0.9917300696188323 0.015233249517735283 -7.497442651759855E-4  -0.2683665251747777 -0.2683665251747777 -0.2683665251747777 0.0 0.0 0.0 295.5453442826303 NaN 3.446171954059574 1.2259894359940092E-4 0.2683665251747777 1.0372666646057276 3.7342862961285722E-6 9.881721145922896 295.5453442826303
9.88498999176007 0.9914021165594588 0.015847745437772582 -7.405284838971363E-4  -0.27968854241573327 -0.27968854241573327 -0.27968854241573327 0.0 0.0 0.0 295.646738109321 NaN 3.4576290357908204 1.2260085311370143E-4 0.27968854241573327 1.0369308325519981 3.7195350015467614E-6 9.88498999176007 295.646738109321
9.888258837597265 0.9910743803285483 0.016462599836123602 -7.310707366225674E-4  -0.291022469399544 -0.291022469399544 -0.291022469399544 0.0 0.0 0.0 295.74809906337515 NaN 3.458797374507127 1.226008457660948E-4 0.291022469399544 1.0365820467930864 3.715798903214062E-6 9.888258837597265 295.74809906337515
9.891527683434477 0.9907468607111357 0.017077812272799683 -7.210579775552109E-4  -0.3023835430290507 -0.3023835430290507 -0.3023835430290507 0.0 0.0 0.0 295.84942733246606 NaN 3.470270829875711 1.226008502812334E-4 0.3023835430290507 1.036238282302172 3.7010621182407675E-6 9.891527683434477 295.84942733246606
