# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.28729 1.0 0.0 -0.0010940635329249988  0.013144070158280046 0.013144070158280046 0.013144070158280046 0.0 0.0 0.0 293.0 NaN 7.120270499552727 2.116128231488804E-4 -0.013144070158280046 2.1558893625478848 8.792368977998296E-6 7.28729 293.0
7.28729 1.0 0.0 -0.0010940635329249988  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 7.120270499552727 2.116128231488804E-4 -0.013144070158280046 2.1558893625478848 8.792368977998296E-6 7.28729 293.0
7.293849216037016 0.9991007195456421 0.0024084128387203735 -0.0010979931573101207  -0.03552510801739523 -0.03552510801739523 -0.03552510801739523 0.0 0.0 0.0 293.56861013563247 NaN 7.21201210019789 2.1160014766135753E-4 0.03552510801739523 2.1539916103935752 8.664564642417412E-6 7.293849216037016 293.56861013563247
7.300408432074827 0.9982030550486477 0.004823570657526149 -0.0010855386829757923  -0.08465194353256034 -0.08465194353256034 -0.08465194353256034 0.0 0.0 0.0 294.13730779193315 NaN 7.226461751679053 2.1158743421617935E-4 0.08465194353256034 2.152083261121678 8.631297289041447E-6 7.300408432074827 294.13730779193315
7.306967648113428 0.997307002157248 0.00723896884910169 -0.0010730807192305335  -0.1337788812361482 -0.1337788812361482 -0.1337788812361482 0.0 0.0 0.0 294.70609028652086 NaN 7.2408598666837385 2.115747207709996E-4 0.1337788812361482 2.150178341206138 8.5982671016516E-6 7.306967648113428 294.70609028652086
7.313526864152819 0.9964125565352855 0.009661073199970307 -0.001059244576296078  -0.18294463618215157 -0.18294463618215157 -0.18294463618215157 0.0 0.0 0.0 295.27495659028705 NaN 7.333192150883191 2.1156200160777274E-4 0.18294463618215157 2.148275999991233 8.474377730364247E-6 7.313526864152819 295.27495659028705
7.320086080192999 0.9955197138621443 0.01208986669685006 -0.0010286189218278868  -0.23258320028418644 -0.23258320028418644 -0.23258320028418644 0.0 0.0 0.0 295.8439039830214 NaN 7.347635799005481 2.1154921263050172E-4 0.23258320028418644 2.146366806347154 8.442120503008439E-6 7.320086080192999 295.8439039830214
7.326645296233963 0.9946284698326815 0.014518866813672612 -9.97991148749371E-4  -0.28222182549642055 -0.28222182549642055 -0.28222182549642055 0.0 0.0 0.0 296.4129301855007 NaN 7.362027835880636 2.1153642365322919E-4 0.28222182549642055 2.1444610330401543 8.410090998500721E-6 7.326645296233963 296.4129301855007
7.333204512275712 0.9937388201571561 0.016954601707433674 -9.664008926168558E-4  -0.3318881445464346 -0.3318881445464346 -0.3318881445464346 0.0 0.0 0.0 296.98203417131305 NaN 7.4559716264172575 2.1152363070913677E-4 0.3318881445464346 2.142558718560475 8.28883666271569E-6 7.333204512275712 296.98203417131305
7.339763728318241 0.9928507605611626 0.01939705476051914 -9.176229384018791E-4  -0.3820489635394405 -0.3820489635394405 -0.3820489635394405 0.0 0.0 0.0 297.55121504945294 NaN 7.470413377583931 2.1151076679379774E-4 0.3820489635394405 2.1406606581487284 8.257595270639395E-6 7.339763728318241 297.55121504945294
7.346322944361549 0.9919642867855601 0.021839681772870427 -8.688435584175586E-4  -0.4322098343641972 -0.4322098343641972 -0.4322098343641972 0.0 0.0 0.0 298.1204719073869 NaN 7.4848036051972135 2.1149790287845722E-4 0.4322098343641972 2.138765989153219 8.22657212050479E-6 7.346322944361549 298.1204719073869
7.352882160405636 0.9910793945864056 0.02428900214078288 -8.192546936331539E-4  -0.4823876124433201 -0.4823876124433201 -0.4823876124433201 0.0 0.0 0.0 298.68878917275526 NaN 7.579508740224043 2.1237071548867463E-4 0.4823876124433201 2.133068277739365 8.128318699126165E-6 7.352882160405636 298.68878917275526
7.359441376450496 0.9901960797348867 0.026744997919986416 -7.520413144205385E-4  -0.5330785045172991 -0.5330785045172991 -0.5330785045172991 0.0 0.0 0.0 299.2571794208011 NaN 7.593929341880413 2.1235946030907343E-4 0.5330785045172991 2.1311961509895663 8.098109297965077E-6 7.359441376450496 299.2571794208011
7.366000592496128 0.9893143380172529 0.029201132552978213 -6.84824972923424E-4  -0.5837694945927018 -0.5837694945927018 -0.5837694945927018 0.0 0.0 0.0 299.82564387224994 NaN 7.608298765361862 2.1234820512947087E-4 0.5837694945927018 2.12932736146364 8.068108341843136E-6 7.366000592496128 299.82564387224994
7.372559808542534 0.9884341652347488 0.03166376624960587 -6.174715243503286E-4  -0.6344644243700338 -0.6344644243700338 -0.6344644243700338 0.0 0.0 0.0 300.39418153219617 NaN 7.701869179446489 2.1233694954387737E-4 0.6344644243700338 2.1274619299966084 7.955599820182802E-6 7.372559808542534 300.39418153219617
7.3791190245897065 0.9875555572035494 0.034132883218722584 -5.320854599143667E-4  -0.6856754288256001 -0.6856754288256001 -0.6856754288256001 0.0 0.0 0.0 300.9627919538815 NaN 7.716287438838417 2.1232563947725936E-4 0.6856754288256001 2.125603805728361 7.9263244794794E-6 7.3791190245897065 300.9627919538815
7.385678240637645 0.986678509754691 0.03660210817702771 -4.466969061514441E-4  -0.7368865310534013 -0.7368865310534013 -0.7368865310534013 0.0 0.0 0.0 301.5314746805056 NaN 7.730654657718908 2.1231432941064006E-4 0.7368865310534013 2.123748985365501 7.897249048517895E-6 7.385678240637645 301.5314746805056
7.392237456686352 0.9858030187340064 0.039071430663020365 -3.613060742701962E-4  -0.7880977277517177 -0.7880977277517177 -0.7880977277517177 0.0 0.0 0.0 302.1002287287791 NaN 7.744971038675946 2.1230301934401936E-4 0.7880977277517177 2.1218974601138134 7.868371497080107E-6 7.392237456686352 302.1002287287791
7.398796672735818 0.984929080002061 0.041547162936439085 -2.580373615053031E-4  -0.8398223667139699 -0.8398223667139699 -0.8398223667139699 0.0 0.0 0.0 302.669053506506 NaN 7.838869967851889 2.1229166550258637E-4 0.8398223667139699 2.120052160995241 7.7600574695286E-6 7.398796672735818 302.669053506506
7.405355888786046 0.9840566894340846 0.04402928958363067 -1.544875937083602E-4  -0.8915551152053165 -0.8915551152053165 -0.8915551152053165 0.0 0.0 0.0 303.23794845118397 NaN 7.853234875859594 2.1228031097773688E-4 0.8915551152053165 2.118210180470833 7.731864683310546E-6 7.405355888786046 303.23794845118397
7.411915104837034 0.9831858429199083 0.046511483830833256 -5.093605711734611E-5  -0.9432879555475027 -0.9432879555475027 -0.9432879555475027 0.0 0.0 0.0 303.8069125904342 NaN 7.867549068051547 2.122689564528861E-4 0.9432879555475027 2.116371463918455 7.703861837010444E-6 7.411915104837034 303.8069125904342
7.418474320888777 0.9823165363639002 0.04900002748924255 7.006688986941935E-5  -0.9955252105871083 -0.9955252105871083 -0.9955252105871083 0.0 0.0 0.0 304.3759453175679 NaN 7.9618937254731605 2.1225755921552622E-4 0.9955252105871083 2.114538810806271 7.598849664652975E-6 7.418474320888777 304.3759453175679
7.425033536941275 0.9814487656848997 0.05149490544283396 1.9176325026535216E-4  -1.0477825561502272 -1.0477825561502272 -1.0477825561502272 0.0 0.0 0.0 304.9450460907565 NaN 7.976256796942408 2.1224616028446926E-4 1.0477825561502272 2.1127095109964213 7.57150271384754E-6 7.425033536941275 304.9450460907565
7.4315927529945265 0.9805825268161552 0.05398982179044693 3.1346087403389685E-4  -1.1000399909037681 -1.1000399909037681 -1.1000399909037681 0.0 0.0 0.0 305.5142139484008 NaN 7.990569272554636 2.1223476135341098E-4 1.1000399909037681 2.110883444461702 7.544338178686458E-6 7.4315927529945265 305.5142139484008
7.438151969048527 0.9797178157052597 0.05649102872580884 4.521840497570338E-4  -1.1527926986840225 -1.1527926986840225 -1.1527926986840225 0.0 0.0 0.0 306.0834482697586 NaN 8.08536348100767 2.1222332076971203E-4 1.1527926986840225 2.1090632815173085 7.44248761931599E-6 7.438151969048527 306.0834482697586
