#⍴ p
#g/cc GPa
22.6228 5275.58
18.6406 3652
15.5408 2576.32
13.0919 1832.89
11.1317 1306.16
8.24447 660.224
7.17055 468.714
6.27534 333.188
5.52315 237.558
4.88653 170.075
4.34411 122.323
3.87909 88.3708
3.47814 64.0774
3.13059 46.5661
2.82785 33.8444
2.56292 24.5313
2.33008 17.6662
2.12461 12.5754
1.9426 8.78188
1.78081 5.9447
1.63649 3.81817
1.50735 2.22353
1.39146 1.02957
1.28714 0.139059
1.193 -0.520557
1.10782 -1.00381
1.03056 -1.35199
0.960318 -1.59654
0.896319 -1.76152
0.837882 -1.86542
