# data-thieved
#rho	P
21.4354375	0.74936152
22.66314517	18.03429127
23.89087854	41.13098233
25.15823431	69.06595768
26.86572706	116.4596357
28.76432868	179.3957648
30.08489664	230.451861
30.70542011	257.9765834
31.27979111	283.8291836
32.18856149	328.7656908
32.82231861	360.6527759
33.4336349	395.0194648
33.89181078	420.5766891
34.40989564	451.4488666
34.57625062	460.3053654
