#a c/a ⍴ e p
#A - g/cc MJ/kg GPa
3.29793 1.01582 6.61638 -141.933 -0.0154577
2.76797 1.04176 10.9121 -140.174 80.1624
2.57247 1.05534 13.4191 -140.767 160.247
2.4756 1.07654 14.7602 -138.325 240.335
2.46099 1.02176 15.8301 -136.042 320.39
2.33571 1.10166 17.1734 -135.9 400.52
2.24693 1.17439 18.096 -134.121 480.702
2.16568 1.2566 18.8879 -132.389 560.78
2.09254 1.33558 19.7003 -131.099 640.706
