# Wilson&Militzer, ApJ 793, 34 (2014)
#p/GPa rho/g/cc H/eV/at
# Cmcm
10.0e2 9.1215 24.9617
15.0e2 10.7121 35.4056
20.0e2 11.8882 44.5932
25.0e2 12.9173 52.9655
27.5e2 13.3928 56.9134
30.0e2 13.8407 60.7266
32.5e2 14.2806 64.4197
35.0e2 14.6951 68.0041
37.5e2 15.0985 71.4900
40.0e2 15.4883 74.8858
