# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.895872232251737 0.9905847377507484 0.017397583471174507 -7.173460755556979E-4  -0.31730722574680753 -0.31730722574680753 -0.31730722574680753 0.0 0.0 0.0 295.89867911112674 NaN 3.5133085368998533 1.2260745361663514E-4 0.31730722574680753 1.0357409294341118 3.6525623746923665E-6 9.895872232251737 295.89867911112674
9.9007760339502 0.9900941063999537 0.018326301995090093 -6.979664643179878E-4  -0.3345637415175667 -0.3345637415175667 -0.3345637415175667 0.0 0.0 0.0 296.05051319541036 NaN 3.515079994773775 1.2260744778433793E-4 0.3345637415175667 1.0352279817064212 3.647106160848681E-6 9.9007760339502 296.05051319541036
9.905679835648762 0.9896039608227437 0.0192547943422309 -6.785957474249627E-4  -0.3518201661436974 -0.3518201661436974 -0.3518201661436974 0.0 0.0 0.0 296.20227475086966 NaN 3.5168479200514366 1.226074419520407E-4 0.3518201661436974 1.0347155418477416 3.6416644671013625E-6 9.905679835648762 296.20227475086966
9.910583637347422 0.9891143002980299 0.0201830602121271 -6.592339209460125E-4  -0.3690764996654674 -0.3690764996654674 -0.3690764996654674 0.0 0.0 0.0 296.3539638095528 NaN 3.5186123206198614 1.2260743611974348E-4 0.3690764996654674 1.0342036091041853 3.6362372364114136E-6 9.910583637347422 296.3539638095528
9.91548743904618 0.9886251241061499 0.021111099306188246 -6.398809809471194E-4  -0.3863327421231858 -0.3863327421231858 -0.3863327421231858 0.0 0.0 0.0 296.5055804035357 NaN 3.520373204345246 1.2260743028744624E-4 0.3863327421231858 1.0336921827233563 3.6308244120375846E-6 9.91548743904618 296.5055804035357
9.920391240745039 0.9881364315288638 0.022038911373676275 -6.205369263016021E-4  -0.40358889379606727 -0.40358889379606727 -0.40358889379606727 0.0 0.0 0.0 296.65712456492196 NaN 3.522131277199283 1.2260720528802372E-4 0.40358889379606727 1.0331984215910872 3.6254789512262068E-6 9.920391240745039 296.65712456492196
9.925295042443995 0.987648221849352 0.022966496121491403 -6.012014715862744E-4  -0.42084496022555523 -0.42084496022555523 -0.42084496022555523 0.0 0.0 0.0 296.808598838488 NaN 3.52388517835319 1.2260720548243364E-4 0.42084496022555523 1.032687946445936 3.6200946637152995E-6 9.925295042443995 296.808598838488
9.930198844143051 0.9871604943522101 0.02389385321243291 -5.818748905907989E-4  -0.43810093570153047 -0.43810093570153047 -0.43810093570153047 0.0 0.0 0.0 296.9600007363832 NaN 3.5256355859059116 1.2260720567684356E-4 0.43810093570153047 1.0321779754737366 3.6147246146205533E-6 9.930198844143051 296.9600007363832
9.935102645842207 0.9866732483234466 0.024820982355303455 -5.625571793689276E-4  -0.4553568202644414 -0.4553568202644414 -0.4553568202644414 0.0 0.0 0.0 297.111330290794 NaN 3.527382507641632 1.2260720587125348E-4 0.4553568202644414 1.0316685079279349 3.6093687483690207E-6 9.935102645842207 297.111330290794
9.940006447541457 0.9861864830504795 0.025753200695003687 -5.425666674969241E-4  -0.47264595707286666 -0.47264595707286666 -0.47264595707286666 0.0 0.0 0.0 297.2625875339337 NaN 3.610563811913915 1.2260720596826873E-4 0.47264595707286666 1.0311594106896582 3.522736134520964E-6 9.940006447541457 297.2625875339337
9.944910249240808 0.9857001978221307 0.026690504079597374 -5.151026336581101E-4  -0.49030099763021157 -0.49030099763021157 -0.49030099763021157 0.0 0.0 0.0 297.4137723624358 NaN 3.612345029362684 1.226072049962192E-4 0.49030099763021157 1.0306493632179525 3.5175221314154948E-6 9.944910249240808 297.4137723624358
9.949814050940258 0.9852143919286255 0.027627576169713983 -4.876474865802949E-4  -0.5079559465164538 -0.5079559465164538 -0.5079559465164538 0.0 0.0 0.0 297.56488471177704 NaN 3.6141226971321285 1.2260720402416966E-4 0.5079559465164538 1.0301398185036796 3.512321857222688E-6 9.949814050940258 297.56488471177704
9.954717852639803 0.9847290646615875 0.02856441667705136 -4.6020122229115785E-4  -0.5256108037727102 -0.5256108037727102 -0.5256108037727102 0.0 0.0 0.0 297.71592461435455 NaN 3.6158968231221675 1.2260720305212012E-4 0.5256108037727102 1.029630775803848 3.507135258593805E-6 9.954717852639803 297.71592461435455
9.959621654339449 0.9842442153140348 0.029501025315137406 -4.3276383681508697E-4  -0.5432655694401749 -0.5432655694401749 -0.5432655694401749 0.0 0.0 0.0 297.8668921025921 NaN 3.6176674152119483 1.2260720208007059E-4 0.5432655694401749 1.0291222343769297 3.501962282455565E-6 9.959621654339449 297.8668921025921
9.96452545603919 0.9837598431803781 0.030437401799316796 -4.0533532617331486E-4  -0.5609202435600303 -0.5609202435600303 -0.5609202435600303 0.0 0.0 0.0 298.01778720893935 NaN 3.6194344812598924 1.2260720110802105E-4 0.5609202435600303 1.0286141934828568 3.496802876008404E-6 9.96452545603919 298.01778720893935
9.969429257739028 0.983275947556416 0.03137354584674594 -3.779156863838661E-4  -0.5785748261735102 -0.5785748261735102 -0.5785748261735102 0.0 0.0 0.0 298.1686099658721 NaN 3.621198029103777 1.2260720013597152E-4 0.5785748261735102 1.0281066523830165 3.491656986724678E-6 9.969429257739028 298.1686099658721
9.974333059438964 0.9827925277393316 0.03230945717638387 -3.505049134615833E-4  -0.5962293173218869 -0.5962293173218869 -0.5962293173218869 0.0 0.0 0.0 298.3193604058921 NaN 3.6229580665607846 1.2260719916392198E-4 0.5962293173218869 1.0275996103402496 3.4865245623469404E-6 9.974333059438964 298.3193604058921
9.979236861138997 0.9823095830276898 0.033245135508983184 -3.2310300341818385E-4  -0.6138837170464585 -0.6138837170464585 -0.6138837170464585 0.0 0.0 0.0 298.4700385615265 NaN 3.6247146014275797 1.2260719819187245E-4 0.6138837170464585 1.0270930666188458 3.481405550886191E-6 9.979236861138997 298.4700385615265
9.984140662839124 0.9818271127214339 0.03418058056708137 -2.9570995226227615E-4  -0.6315380253885416 -0.6315380253885416 -0.6315380253885416 0.0 0.0 0.0 298.620644465328 NaN 3.626467641480356 1.226071972198229E-4 0.6315380253885416 1.0265870204845395 3.4762999006201697E-6 9.984140662839124 298.620644465328
9.989044464539353 0.9813451161218806 0.03512104202386242 -2.6420066874134016E-4  -0.649394319717593 -0.649394319717593 -0.649394319717593 0.0 0.0 0.0 298.7711781505743 NaN 3.710134753397817 1.2260719771504047E-4 0.649394319717593 1.026082257648741 3.3945680132636716E-6 9.989044464539353 298.7711781505743
9.993948266239675 0.9808635925317197 0.036066515837809655 -2.2862715867861177E-4  -0.6674500515707149 -0.6674500515707149 -0.6674500515707149 0.0 0.0 0.0 298.9216398783869 NaN 3.7119221847451898 1.2260719965901542E-4 0.6674500515707149 1.0255787663061868 3.3896045473427898E-6 9.993948266239675 298.9216398783869
9.998852067940092 0.980382541255008 0.037011753173958765 -1.9306246653896748E-4  -0.685505693038164 -0.685505693038164 -0.685505693038164 0.0 0.0 0.0 299.0720296813183 NaN 3.713706069051918 1.2260720160299035E-4 0.685505693038164 1.0250757688246561 3.3846539862825424E-6 9.998852067940092 299.0720296813183
10.003755869640608 0.9799019615971665 0.0379567537588878 -1.5750658833209462E-4  -0.7035612441608626 -0.7035612441608626 -0.7035612441608626 0.0 0.0 0.0 299.2223475919174 NaN 3.7154864141750727 1.226072035469653E-4 0.7035612441608626 1.024573264477882 3.3797162805802843E-6 10.003755869640608 299.2223475919174
10.00865967134122 0.979421852864978 0.03890151732093593 -1.2195952006478402E-4  -0.7216167049797312 -0.7216167049797312 -0.7216167049797312 0.0 0.0 0.0 299.3725936427568 NaN 3.717263227951156 1.2260720549094024E-4 0.7216167049797312 1.0240712525410216 3.3747913809856867E-6 10.00865967134122 299.3725936427568
10.013563473041929 0.9789422143665832 0.039846043590197625 -8.642125774082416E-5  -0.7396720755357333 -0.7396720755357333 -0.7396720755357333 0.0 0.0 0.0 299.52276786643347 NaN 3.7190365181961624 1.226072074349152E-4 0.7396720755357333 1.0235697322906523 3.3698792384991417E-6 10.013563473041929 299.52276786643347
10.018467274742735 0.9784630454114773 0.04079033229851424 -5.0891797361055855E-5  -0.7577273558698697 -0.7577273558698697 -0.7577273558698697 0.0 0.0 0.0 299.6728702955685 NaN 3.7208062927056464 1.2260720937889015E-4 0.7577273558698697 1.023068703004767 3.364979804370145E-6 10.018467274742735 299.6728702955685
10.023371076443636 0.9779843453105068 0.04173438317946485 -1.537113492343964E-5  -0.7757825460231571 -0.7757825460231571 -0.7757825460231571 0.0 0.0 0.0 299.82290096280644 NaN 3.7225725592547834 1.2260721132286508E-4 0.7757825460231571 1.0225681639627726 3.360093030095742E-6 10.023371076443636 299.82290096280644
10.028274878144629 0.9775061133758668 0.04267819596835823 2.0140733576943812E-5  -0.7938376460366295 -0.7938376460366295 -0.7938376460366295 0.0 0.0 0.0 299.97285990081554 NaN 3.724335325598424 1.2260721326684E-4 0.7938376460366295 1.0220681144454857 3.3552188674189493E-6 10.028274878144629 299.97285990081554
10.033178679845719 0.9770283489210956 0.04362177040222791 5.564381214797091E-5  -0.811892655951396 -0.811892655951396 -0.811892655951396 0.0 0.0 0.0 300.1227471422877 NaN 3.7260945994711734 1.2260721521081496E-4 0.811892655951396 1.021568553735127 3.3503572683271836E-6 10.033178679845719 300.1227471422877
10.038082481546905 0.976551051261074 0.044570328010180994 9.873264273485782E-5  -0.8303227164376611 -0.8303227164376611 -0.8303227164376611 0.0 0.0 0.0 300.27256281877396 NaN 3.8108388155345843 1.2260721536197866E-4 0.8303227164376611 1.0210709528309634 3.272657906784111E-6 10.038082481546905 300.27256281877396
10.042986283248183 0.9760742197120209 0.04552386481402514 1.42453063963083E-4  -0.8487843183237258 -0.8487843183237258 -0.8487843183237258 0.0 0.0 0.0 300.42230709826345 NaN 3.8126326233689136 1.2260721536197866E-4 0.8487843183237258 1.0205739618945855 3.267929536225135E-6 10.042986283248183 300.42230709826345
10.04789008494956 0.9755978535914895 0.04647716014786707 1.8616473540899276E-4  -0.8672458311103871 -0.8672458311103871 -0.8672458311103871 0.0 0.0 0.0 300.5719800134144 NaN 3.8144228868434373 1.2260721536197866E-4 0.8672458311103871 1.0200774560640218 3.2632133077992116E-6 10.04789008494956 300.5719800134144
10.052793886651031 0.9751219522183652 0.0474302137525464 2.2986766107889608E-4  -0.8857072548382854 -0.8857072548382854 -0.8857072548382854 0.0 0.0 0.0 300.7215815969029 NaN 3.8162096137723998 1.2260721536197866E-4 0.8857072548382854 1.0195814346293615 3.2585091755157263E-6 10.052793886651031 300.7215815969029
10.057697688352595 0.9746465149128614 0.048383025370603315 2.7356184498182525E-4  -0.9041685895480831 -0.9041685895480831 -0.9041685895480831 0.0 0.0 0.0 300.8711118814273 NaN 3.817992811949681 1.2260721536197866E-4 0.9041685895480831 1.0190858968820782 3.2538170936155254E-6 10.057697688352595 300.8711118814273
10.062601490054256 0.9741715409965167 0.0493355947462724 3.172472911296021E-4  -0.922629835280497 -0.922629835280497 -0.922629835280497 0.0 0.0 0.0 301.0205708997083 NaN 3.819772489148872 1.2260721536197866E-4 0.922629835280497 1.0185908421150267 3.24913701656944E-6 10.062601490054256 301.0205708997083
10.067505291756012 0.9736970297921915 0.05028792162547277 3.609240035366989E-4  -0.9410909920762588 -0.9410909920762588 -0.9410909920762588 0.0 0.0 0.0 301.16995868448845 NaN 3.8215486531233256 1.2260721536197866E-4 0.9410909920762588 1.0180962696224394 3.2444688990768627E-6 10.067505291756012 301.16995868448845
