# Bi-V (bcc)
#P [GPa]	v (A^3/at)	rho (g/cc)
0.0001	32.08	10.81750756
1	31.395	11.05353217
2	30.79	11.27072564
3	30.255	11.47002619
4	29.77	11.65689091
5	29.34	11.82773151
6	28.97	11.97879332
7	28.605	12.1316428
8	28.255	12.28191975
9	27.92	12.42928519
10	27.605	12.57111547
15	26.24	13.22506259
20	25.16	13.79275208
