# Bi-II (C2/m)
#P [GPa]	v (A^3/at)	rho (g/cc)
0.0001	34.49	10.06163069
1	33.6825	10.30284695
2	32.9775	10.5231034
3	32.3475	10.72805139
4	31.77	10.92306083
5	31.2575	11.10215604
6	30.7875	11.27164084
7	30.34	11.43789197
8	29.9225	11.59748157
9	29.5325	11.75063548
10	29.1625	11.89972199
