#rho(g/cc) e(MJ/kg) p(GPa)
11.015969768060378 -1.7380110947313714 0.016
12.662021833908993 -1.6866189207862434 10.0
13.776575058215824 -1.5823786137130582 20.0
14.692195286124022 -1.4703684155646122 30.0
15.515312770443998 -1.3443871903908913 40.001000000000005
16.22504853697254 -1.2181385809838823 49.994
16.858504675073796 -1.0910560729435885 59.999
17.428325933981565 -0.9653382014330754 70.0
17.915349627132564 -0.8483452444948766 80.042
18.399286851943486 -0.723622799137519 90.0
18.85454357710201 -0.5990144193751405 100.0
19.284177336628165 -0.4749843779417128 109.998
19.69260097053238 -0.35132937343638926 119.99900000000001
20.08726026440334 -0.2265821675437013 129.999
20.46921765402995 -0.10121342743010839 139.999
20.83004630076053 0.021426468997369087 149.999
21.174120523709252 0.14235310535920986 159.99900000000002
21.505658377512223 0.2624933973510334 170.02100000000002
21.86433851028801 0.39620951735578547 179.99900000000002
22.18142940634176 0.5171151744387634 189.99800000000002
22.467022620201476 0.6286841290440321 200.0
22.773710902252535 0.75139476128389 209.999
23.056721251196134 0.8672990349268224 220.0
23.333428804373693 0.9830797829082285 229.999
23.59985915184011 1.0968002585927898 239.856
23.872039444183503 1.2151578520607687 249.99800000000002
24.13105738822686 1.3298113100722055 259.998
24.37613011434731 1.4401754704922163 269.942
24.625575058294043 1.5544203773622418 280.0
24.86438532373648 1.6655900469820586 289.99899999999997
25.098430333330345 1.7762401147134381 299.997
25.327645023230474 1.886231186545063 310.00100000000003
25.55265611500397 1.9957657328324019 319.98900000000003
25.773638998191508 2.1048335778864993 329.999
25.99064544629319 2.2133757775054983 340.0
26.203746014314664 2.321345289904113 349.999
26.40054279238696 2.422265921580057 359.88800000000003
26.619823165859913 2.536082923185214 369.999
26.817023261875608 2.6462741199775754 379.673
27.024877986052037 2.7566487885046924 389.999
27.22323369487277 2.863165296548388 400.0
27.42733891018792 2.9739449288710365 410.0
27.636302274577968 3.088335753458593 419.999
27.83623830159226 3.1987146741678916 429.999
28.02595551717816 3.3044611217140494 439.999
28.209832823360863 3.407958368030628 449.999
28.390829607423782 3.510794697809246 459.999
28.569435733833902 3.613198703931739 469.999
28.745811099755944 3.7152244181983987 479.998
28.919909985375448 3.8168069590498366 489.999
29.09200230322652 3.9180698059783934 499.999
29.262369718952925 4.019150215361997 509.999
29.431311268346963 4.120189741929948 519.994
29.598656181171474 4.221052565166049 530.005
29.76365805695047 4.321262316009171 539.999
29.922748163265133 4.4186010036005765 550.113
30.081384368559917 4.516372425753877 559.921
30.246437516653664 4.618845182413682 569.999
30.40392884883946 4.717331049661091 580.0
30.559712408941284 4.815433177088527 590.0
30.713906353120844 4.913192322854834 599.985
30.86718562658325 5.011020154521591 609.999
31.01896324204419 5.108524197058523 619.999
31.169408565135576 5.205790828398782 629.999
31.319045253677643 5.303145278150847 640.04
31.465563061708348 5.3990554356736995 649.957
31.61249753031993 5.495819847824666 659.998
31.75740384519277 5.591817214326048 669.999
31.900912101193587 5.687445416619994 680.0
32.04302928668694 5.782696102700459 689.999
32.184067331159945 5.877759789720233 699.999
32.32373529905388 5.972424782720156 709.999
32.47995203834393 6.082670066715837 720.0010000000001
32.61363956126654 6.174159030512018 729.982
32.7541480713789 6.270825037656453 740.0340000000001
32.890493340283214 6.365124204481206 749.9780000000001
33.024067805371295 6.457979231435066 759.9580000000001
33.15822144366829 6.551708975201001 769.998
33.29045041590088 6.6445543020085385 779.991
33.423129496292994 6.738174957217923 789.922
33.54598037060499 6.825268475843379 800.0010000000001
33.68427692603872 6.92377745538612 809.999
33.811857202484376 7.015083607666929 820.0340000000001
33.94302335158354 7.109381994232412 829.999
34.071253426778654 7.201982301161152 839.998
34.19862205332737 7.2943659453261445 849.998
34.323874741598225 7.385608781183026 859.9879999999999
34.45092913309246 7.47856642839025 869.999
34.576354115820806 7.5707286174298165 879.998
34.701739138021495 7.663245533571845 889.999
34.82722498727867 7.756207211349149 899.998
34.95270957312804 7.849522674377488 909.999
35.07939326999138 7.944076750521029 919.999
35.20664221588933 8.039371685150927 929.999
35.33075149041077 8.132636625237232 939.999
35.45206686420364 8.224138848824104 950.0740000000001
35.57317239721153 8.3158303429957 959.981
35.69426914315043 8.407861171462597 969.998
35.81534020034974 8.500204685369694 979.999
35.93589338114449 8.592466498282345 989.999
36.05514588855387 8.684040768886527 999.999
36.17233626228466 8.774341582489596 1009.96
36.29126983979119 8.866321149307458 1019.9100000000001
36.39855462884142 8.949574411860459 1030.0
36.5247366002974 9.04781272915759 1039.89
36.645934014654195 9.142465459621276 1049.99
36.7629576111055 9.23411378098551 1059.99
36.88509364671371 9.330035688566616 1069.99
37.00142724399013 9.42165763809087 1080.0
37.1151378353488 9.511481685577792 1090.0
37.22716486745994 9.600274987483013 1100.0
37.34181198893967 9.691434732652903 1110.0
37.512019611537035 9.827220187966034 1121.24
37.5789455834648 9.880741643292769 1130.0
37.69719236289475 9.975480640883559 1139.93
37.81558559184518 10.070564628495136 1150.03
37.92950479505431 10.162290694154434 1160.0
38.040866085401085 10.252202139913555 1169.99
38.150214797007884 10.340736834348059 1179.99
38.25692917260975 10.427377987273035 1190.0600000000002
38.36535089880985 10.515649609676375 1200.0
