#Bi-bSn (I4_1/amd)
#P [GPa]	v (A^3/at)	rho (g/cc)
0.0001	34.48	10.06454879
1	33.7325	10.28757556
2	33.07	10.49366926
3	32.475	10.68593202
4	31.925	10.87002795
5	31.425	11.04297987
6	30.965	11.20702866
7	30.54	11.36298764
8	30.1425	11.51283545
9	29.775	11.65493341
10	29.43	11.79156107
15	27.965	12.40928455
20	26.8	12.948718
