#           USTAR            CLAG         DENSITY          STRESS
  7.64127908e+01  9.58177073e+03  3.60981572e+03  2.53192547e+09
  7.69643515e+01  9.58295536e+03  3.61002525e+03  2.55084668e+09
  7.75159121e+01  9.57303046e+03  3.61023489e+03  2.56975927e+09
  7.80674728e+01  9.56998912e+03  3.61044470e+03  2.58865905e+09
  7.86190334e+01  9.56832332e+03  3.61065459e+03  2.60755418e+09
  7.91705941e+01  9.55130538e+03  3.61086470e+03  2.62643087e+09
  7.97221548e+01  9.55083262e+03  3.61107503e+03  2.64529028e+09
  8.02737154e+01  9.55151437e+03  3.61128539e+03  2.66414991e+09
  8.08252761e+01  9.56144865e+03  3.61149565e+03  2.68302001e+09
  8.13768368e+01  9.56251053e+03  3.61170582e+03  2.70190098e+09
  8.19283974e+01  9.54248266e+03  3.61191621e+03  2.72076321e+09
  8.24799581e+01  9.55132560e+03  3.61212676e+03  2.73961441e+09
  8.30315188e+01  9.55383011e+03  3.61233721e+03  2.75847681e+09
  8.35830794e+01  9.55193975e+03  3.61254767e+03  2.77733981e+09
  8.41346401e+01  9.54972007e+03  3.61275821e+03  2.79619876e+09
  8.46862008e+01  9.53718608e+03  3.61296893e+03  2.81504314e+09
  8.52377614e+01  9.51422083e+03  3.61318006e+03  2.83385247e+09
  8.57893221e+01  9.52939891e+03  3.61339131e+03  2.85265411e+09
  8.63408827e+01  9.53252561e+03  3.61360239e+03  2.87147383e+09
  8.68924434e+01  9.52883996e+03  3.61381349e+03  2.89029299e+09
  8.74440041e+01  9.52506900e+03  3.61402470e+03  2.90910479e+09
  8.79955647e+01  9.51621292e+03  3.61423607e+03  2.92790413e+09
  8.85471254e+01  9.53107074e+03  3.61444740e+03  2.94670939e+09
  8.90986861e+01  9.53431462e+03  3.61465856e+03  2.96553252e+09
  8.96502467e+01  9.53062519e+03  3.61486975e+03  2.98435522e+09
  9.02018074e+01  9.51585031e+03  3.61508116e+03  3.00315968e+09
  9.07533681e+01  9.49618301e+03  3.61529298e+03  3.02193014e+09
  9.13049287e+01  9.50985622e+03  3.61550490e+03  3.04069468e+09
  9.18564894e+01  9.51343117e+03  3.61571665e+03  3.05947625e+09
