#           USTAR            CLAG         DENSITY          STRESS
  0.00000000e+00  9.12400000e+03  3.58000000e+03  0.00000000e+00
  1.25318150e+00  8.09031686e+03  3.58052320e+03  3.86150675e+07
  1.85280874e+00  7.20155338e+03  3.58080502e+03  5.50283328e+07
  2.45243598e+00  6.68658909e+03  3.58111475e+03  6.99349311e+07
  3.05206322e+00  6.39475254e+03  3.58144335e+03  8.39755635e+07
  3.65169046e+00  6.23836868e+03  3.58178355e+03  9.75351064e+07
  4.25131770e+00  6.17269061e+03  3.58212987e+03  1.10856303e+08
  4.85094494e+00  6.17069276e+03  3.58247814e+03  1.24104861e+08
  5.45057218e+00  6.22280804e+03  3.58282508e+03  1.37407211e+08
  6.05019941e+00  6.35114986e+03  3.58316713e+03  1.50903252e+08
  6.64982665e+00  6.45162254e+03  3.58350312e+03  1.64644887e+08
  7.24945389e+00  6.54272169e+03  3.58383421e+03  1.78592142e+08
  7.84908113e+00  6.58031868e+03  3.58416211e+03  1.92677531e+08
  8.44870837e+00  6.79007338e+03  3.58448407e+03  2.07028411e+08
  9.04833561e+00  7.16090564e+03  3.58479283e+03  2.22002454e+08
  9.64796285e+00  7.54164378e+03  3.58508585e+03  2.37783182e+08
  1.02475901e+01  7.71694296e+03  3.58536808e+03  2.54160723e+08
  1.08472173e+01  7.82807266e+03  3.58564513e+03  2.70845697e+08
  1.14468446e+01  7.88502455e+03  3.58591925e+03  2.87711079e+08
  1.20464718e+01  7.89109373e+03  3.58619231e+03  3.04644104e+08
  1.26460990e+01  7.84202975e+03  3.58646616e+03  3.21530981e+08
  1.32457263e+01  7.74070613e+03  3.58674271e+03  3.38256442e+08
  1.38453535e+01  7.58715993e+03  3.58702392e+03  3.54708342e+08
  1.44449808e+01  7.39466057e+03  3.58731168e+03  3.70788821e+08
  1.50446080e+01  7.13148260e+03  3.58760857e+03  3.86380206e+08
  1.56442352e+01  6.93089222e+03  3.58791527e+03  4.01473814e+08
  1.62438625e+01  6.85820147e+03  3.58822804e+03  4.16274100e+08
  1.68434897e+01  6.90852831e+03  3.58854137e+03  4.31050382e+08
  1.74431170e+01  6.91589700e+03  3.58885344e+03  4.45888591e+08
  1.80427442e+01  6.69977445e+03  3.58917043e+03  4.60502737e+08
  1.86423714e+01  6.70381485e+03  3.58949242e+03  4.74889248e+08
  1.92419987e+01  6.93102300e+03  3.58980908e+03  4.89523966e+08
  1.98416259e+01  7.17389862e+03  3.59011526e+03  5.04663241e+08
  2.04412532e+01  7.38883117e+03  3.59041183e+03  5.20293896e+08
  2.10408804e+01  7.58291582e+03  3.59070033e+03  5.36363562e+08
  2.16405076e+01  7.74225838e+03  3.59098221e+03  5.52812574e+08
  2.22401349e+01  7.94432983e+03  3.59125766e+03  5.69649503e+08
  2.28397621e+01  8.02040680e+03  3.59152830e+03  5.86784977e+08
  2.34393894e+01  8.01488900e+03  3.59179779e+03  6.03996186e+08
  2.40390166e+01  7.98212345e+03  3.59206797e+03  6.21166303e+08
  2.46386438e+01  7.98055425e+03  3.59233877e+03  6.38299568e+08
  2.52382711e+01  8.02060064e+03  3.59260895e+03  6.55474132e+08
  2.58378983e+01  8.05436468e+03  3.59287794e+03  6.72727919e+08
  2.64375256e+01  8.06484412e+03  3.59314623e+03  6.90029194e+08
  2.70371528e+01  8.00295303e+03  3.59341542e+03  7.07275287e+08
  2.76367800e+01  8.00366502e+03  3.59368568e+03  7.24455714e+08
  2.82364073e+01  8.02863531e+03  3.59395554e+03  7.41663707e+08
  2.88360345e+01  8.06776509e+03  3.59422438e+03  7.58940501e+08
  2.94356617e+01  8.11276850e+03  3.59449185e+03  7.76307598e+08
  3.00352890e+01  8.16104438e+03  3.59475783e+03  7.93774814e+08
  3.06349162e+01  8.21001553e+03  3.59502227e+03  8.11346409e+08
  3.12345435e+01  8.25440185e+03  3.59528525e+03  8.29018208e+08
  3.18341707e+01  8.28898480e+03  3.59554701e+03  8.46774767e+08
  3.24337979e+01  8.31333137e+03  3.59580788e+03  8.64594576e+08
  3.30334252e+01  8.32896831e+03  3.59606816e+03  8.82457302e+08
  3.36330524e+01  8.33305076e+03  3.59632817e+03  9.00341193e+08
  3.42326797e+01  8.32401488e+03  3.59658829e+03  9.18219767e+08
  3.48323069e+01  8.30730787e+03  3.59684885e+03  9.36070710e+08
  3.54319341e+01  8.29218373e+03  3.59710995e+03  9.53887489e+08
  3.60315614e+01  8.24565358e+03  3.59737207e+03  9.71638091e+08
  3.66311886e+01  8.22620179e+03  3.59763527e+03  9.89317873e+08
  3.72308159e+01  8.21578233e+03  3.59789899e+03  1.00696559e+09
  3.78304431e+01  8.21700773e+03  3.59816289e+03  1.02460345e+09
  3.84300703e+01  8.23299459e+03  3.59842656e+03  1.04225977e+09
  3.90296976e+01  8.26017609e+03  3.59868958e+03  1.05996243e+09
  3.96293248e+01  8.29321509e+03  3.59895168e+03  1.07772973e+09
  4.02289521e+01  8.33189223e+03  3.59921268e+03  1.09557400e+09
  4.08285793e+01  8.37910983e+03  3.59947238e+03  1.11351047e+09
  4.14282065e+01  8.43553397e+03  3.59973052e+03  1.13155818e+09
  4.20278338e+01  8.48860585e+03  3.59998703e+03  1.14972341e+09
  4.26274610e+01  8.53438622e+03  3.60024208e+03  1.16799474e+09
  4.32270883e+01  8.55075359e+03  3.60049624e+03  1.18633278e+09
  4.38267155e+01  8.57985112e+03  3.60074976e+03  1.20471962e+09
  4.44263427e+01  8.63556672e+03  3.60100207e+03  1.22319750e+09
  4.50259700e+01  8.62819962e+03  3.60125370e+03  1.24172726e+09
  4.56255972e+01  8.63627845e+03  3.60150536e+03  1.26025779e+09
  4.62252245e+01  8.64749546e+03  3.60175677e+03  1.27880903e+09
  4.68248517e+01  8.66594077e+03  3.60200779e+03  1.29739211e+09
  4.74244789e+01  8.68458268e+03  3.60225831e+03  1.31601500e+09
  4.80241062e+01  8.69830723e+03  3.60250839e+03  1.33467262e+09
  4.86237334e+01  8.71757983e+03  3.60275804e+03  1.35336566e+09
  4.92233606e+01  8.73849540e+03  3.60300714e+03  1.37210184e+09
  4.98229879e+01  8.76187598e+03  3.60325565e+03  1.39088556e+09
  5.04226151e+01  8.78663175e+03  3.60350351e+03  1.40972095e+09
  5.10222424e+01  8.81073578e+03  3.60375072e+03  1.42860878e+09
  5.16218696e+01  8.83245376e+03  3.60399732e+03  1.44754579e+09
  5.22214968e+01  8.85175177e+03  3.60424338e+03  1.46652683e+09
  5.28211241e+01  8.86948668e+03  3.60448896e+03  1.48554762e+09
  5.34207513e+01  8.88514709e+03  3.60473411e+03  1.50460425e+09
  5.40203786e+01  8.89658518e+03  3.60497892e+03  1.52368996e+09
  5.46200058e+01  8.90306614e+03  3.60522352e+03  1.54279491e+09
  5.52196330e+01  8.90603321e+03  3.60546802e+03  1.56191000e+09
  5.58192603e+01  8.90780606e+03  3.60571249e+03  1.58103018e+09
  5.64188875e+01  8.90826038e+03  3.60595696e+03  1.60015275e+09
